team,year,text
SJTU-BioX-Shanghai,2017,"GEM competition that it is not simply a scientific research program but connecting                             with society by Human Practice.
Photo taken after meeting
Two teams having a meeting together in SJTU Bio-X Insititutes
Online conference with CGU
We shared project and current progress with each other through Skype. What’s more, we had a further discussion concerning image processing.
Meetups
Online conference about heavy ion pollution
We had an online conference about potential collaboration about China’s current situation of water pollution. There are 8 teams participated in the conference: TJU , UCAS, XMU, SCUT-A ,                             SCUT-B, FAFU , JLU , and us SJTU-BioX-Shanghai. We first introduced our project to each other including lab experiment, Human Practice, current progress and problems as well as willingness                             to cooperate. Then we shared the information we had obtained lately, including some conclusion we had drawn after interviewing, investigating and reading literature.
Online conference held by XMU
This conference is mainly held for communication. We participated in that using Skype with UCAS, XMU, NCKU and SCUT-A.
We learned that SCUT-A was dealing with a color analysis application which is similar to what we have achieved in our app. We shared the theory of our app with them and offered them suggestion on developing such app. NCKU mentioned CGU who was doing some                             image processing work and suggested us that CGU may provide us some advice on developing app. We then had an online conference with CGU which we will write about later.
What’s more, NCKU gave us advice on bacterium conservation. When we mentioned we use paper to hold bacteria, they suggested us that we could apply the technique of lyophilized. It was helpful and we took it into consideration when                             we discussed the possible methods to conserve the bacteria.
1st Collaborative Innovation Online-conference for iGEM
Community open day held by Tongji University
This year, we went to fablab in Tongji University and participated in the open day hosted by Tongji University. We brought our project to the activity and shared it with other schools and residents who came by that day. The community                             open day attracted many people stop to listen. Meanwhile, it was also broadcast live online.
Introducing our project to audience
Putting forward questions to other teams
Surveys & Newsletters
Boston University
We filled in the Microfluidics survey for Boston University Hardware Team.
Newsletter
We wrote a description of our project, our team and detailed Human Practice plan for XMU’s newsletter which was issued"
NUDT_CHINA,2018,"/Team:Tianjin/Collaborations .
CCiC
In the end of August, we attended the Fifth Conference of China iGEMer Community held by ShanghaiTech. We were inspired by the wonderful lectures delivered by professors and scholars. The presentation session gave us an opportunity to express ourselves before Giant Jamboree as well as learning from other teams in China. During the poster session, we had face-to-face conversations with other iGEMers, some of whom offered suggestions on promotion.  After the conference, we began to work on developing new and thoughtful ways of Human Practices, establishing a more systematic model, and making modifications on designing of our poster and wiki. We were lucky to communicate with iGEM HQ, Meagan Lizarazo, and took photos with her.
NJU-China
They shared A549 cells, which could verify the demo of our system. In return, we offered suggestions on their project and helped them carry out the cell viability experiment. It was proven that their manipulation did no harm to cells, which set up a good start of their project. Their acknowledgement can be found on their wiki page ( https://2018.igem.org/Team:NJU-China/Collaborations ).
OUC-China
We distributed brochures named SPACESHIP E.coli made by team OUC-China, hoping to increase publicity of synthetic biology. The brochure is a comic book and fun to look through and discuss with other readers. It really worked in intriguing students’ enthusiasm for synthetic biology. (see more on Education Page )"
Exeter,2016,"Team:Exeter/Collaborations
Lab
Lab Project
Lab Book
Parts
Team
InterLab
Human Practices
Integrated
Public Engagement
& Education
Log
Attributions
Awards
Awards
Special pages
HP Silver
HP Gold
Models
Collaborations
0
Collaborations
Newcastle Purdue Glasgow Edinburgh Stanford Brown
Measurement: Newcastle
The thermal conductivity of growth media.
Newcastle's 2016 iGEM project looks at the creation of biological electronic components, and as part of their modelling they needed to know the thermal conductivity of different growth media. With a strong team of physicists on board the Exeter team, they came to us for help. With support from our biophysicist supervisor Ryan Edginton , we built an experimental setup (Fig. 1a) that made use of the transient hot wire method (Healy et al 1976).
A 0.65m insulated copper wire (cross-sectional area, 0.05m2) was passed through the centre of a 50mL falcon tube containing the liquid medium to be measured, suspended in a water bath (Fig. 1b). Three thermocouples (Pico Technology TC-08) were attached, one to the wire in contact with the insulation using blue tack, one suspended in the liquid medium 5mm from the wire, and one in the water bath. Power was supplied to the wire at 5A, 1.8V for 600s, generating a small temperature increase of approximately 2°C above room temperature (23 ± 1°C) to avoid convection effects. Our experimental setup was calibrated to the thermal conductivity of water at 20°C, 598.4 $\frac{mW}{Km}\text{ }$. Measurements of two growth media, liquid broth (LB) and M9 were repeated at least in quintuple.
Figure 1a - experimental setup of the transient hot wire method.
Figure 1b - arrangement of thermocouples within the falcon tube measuring thermal conductivity using the transient hot-wire method.
Figure 2 - representative plots of temperature against natural log of time for water, liquid broth and M9 media. A fit was applied from the point where the relationship becomes linear to extract the thermal conductivities.
Nagasaka and Nagashima noted that wire insulation has negligible impact on the measurement of the      thermal conductivity of saline solutions (Nagasaka and Nagashima 1981) and thus can be described by the equation:      $$ \lambda = \frac{Q"
TJU,2015,"u. Subsequently, NH3 is able to neutralize H+ inside the cell resulted in pH ascending. 2. When intracellular pH goes up, the alkali-resisting genes NhaA and NhaB can generate Na+/H+ pump which transfers Na+ to the outside in exchange for H+ from the outside. Thus, H+ is able to neutralize OH- inside the cell leading to pH drop. Next, we will demonstrate our construction via taking the pH regulation module as an example.
Figure 6. The gene circuit about glsA acid regulation gene
We establish the following equations based on the gene circle above:
As a step forward, we established the following ordinary differential equations on the basis of Law of Conservation of Mass and Michaelis-Menten equation:
Supposing that the original pH in the external environment is 4, we can get the picture of intracellular H+ concentration change (as shown in picture 1).
Figure 7. The environmental H+ concentration variation tendency.
the figure indicates that the intracellular acid concentration tends to be stable, which clarifies that the acid controller can make microorganism more tolerant in the low pH conditions. Besides, the principles and equations used in alkali controller modeling is similar to those used in acid controller.
Collaborations
High Schools
LZU-China
Bit-China
Human Practices
iGEM Handbook
New Team Aid
Meet Ups
Public Concerns
References
E-mail: ggjyliuyue@gmail.com |Address: Building No.20, No.92 Weijin road, Tianjin University, China | Zip-cod: 300072
Copyright 2015@TJU iGEM Team"
UCAS,2017," mRFP1 reporter and a LAA degradation tag
1171
Ruiling Cai
Part number
Name
Type
Description
Length/bp
Designer
BBa_K2287000
sfGFP+LVA
Coding
sfGFP with a LVA degradation tag
753
Ruiling Cai
BBa_K2287001
glnAp2
regulatory
Lack-nitrogen induced promoter
299
Ruiling Cai
BBa_K2287002
glnHp2
regulatory
Lack-nitrogen induced promoter
287
Ruiling Cai
BBa_K2287003
astCp
regulatory
Lack-nitrogen induced promoter
427
Ruiling Cai
BBa_K2287010
glnAp2+sfGFP
regulatory
Lack-nitrogen induced promoter with a sfGFP reporter
1177
Ruiling Cai
BBa_K2287011
glnHp2+sfGFP
regulatory
Lack-nitrogen induced promoter with a sfGFP reporter
1165
Ruiling Cai
BBa_K2287012
astCp+sfGFP
regulatory
Lack-nitrogen induced promoter with a sfGFP reporter
1305
Ruiling Cai
BBa_K2287013
glnAp2+mRFP1+LVA
reporter
Lack-nitrogen induced promoter with a mRFP1 reporter and a LVA degradation tag
1171
Ruiling Cai
BBa_K2287014
glnAp2+mRFP1+DAS
Reporter
Lack-nitrogen induced promoter with a mRFP1 reporter and a DAS degradation tag
1017
Ruiling Cai
BBa_K2287015
glnAp2+Mrfp1+LAA
Reporter
Lack-nitrogen induced promoter with a mRFP1 reporter and a LAA degradation tag
1171
Ruiling Cai
BBa_K2287021
Prs
coding
phosphoribosylpyrophosphate synthase
948
Jianyi Huang
BBa_K2287022
rhXOR
coding
recombinant human xanthine oxidase
4002
Jiang Wu
BBa_K2287023
purF
coding
glutamine phosphoribosylpyrophosphate amidotransferase
1518
Jiang Wu
BB"
ColumbiaNYC,2017,"
We completed a survey created by the UNebraska-Lincoln team to provide our opinions on global warming and genetically modified organisms.
Email: cuigem2017team@googlegroups.com"
OLS_Canmore_AB_CA,2015," a member of the Our Lady Of the Snows Catholic Academy iGem team. We are a small high school based based out of Canmore, Alberta, Canada. We are contacting you because we have chosen to tackle build ups of keratin in wastewater treatment, and well as the poultry industry as this year’s project, and your team’s 2013 project involved Keratinases too. When talking about wastewater treatment, these build ups of hair can lead to clogs causing flooding and the breakage of water pumps and pipes, something very costly to repair. The only current way to deal with this issue is to have a worker manually remove the blockage, which is slow, unpleasant for the worker and inefficient.   Upon further research our team discovered that the reason hair is such a huge issue for waste treatment facilities is because of the protein keratin, which as you probably know is a very hard protein to break down due the tightly wrapped helixes and hydrogen bonds. Once we discovered this pressing issue we looked into keratin more and realized it is also a component of the basic construct of feathers and they to build up and are hard to break down. With more searching on the iGEM parts registry we discovered your project, as well as one other project, both of whom attempted to solve the keratin issue. With this research and the exploration of previous iGEM projects, we decided to create a construct that would express a Keratinase enzyme to break down the keratin in the hair and feathers, thus solving the issue.   Because iGEm requires collaboration between teams, we decided to try contact you due to your decision to tackle this project in 2013. As we understand it, you reached the planning stages of the project and then dropped it? As much of our project is based on building on, and optimizing previous constructs, we are looking for some more in-depth information concerning the cleaving process, and some issues you would've tackled there, and how you would've dealt with them. We know that Keratinases are difficult to express in E. Coli, due to the double membrane, and because when expressed, the export tag does not always get cleaved properly, so if you could give us any insight upon this, that would be appreciated. We would also like to get some of your current opinions on the issues, if you have any advice for us that could make us more successful at the competition and if you had devised a way in which you would have deployed your construct outside of the lab, if you had completed the project. We also were wondering what your plans were for implementation of the bi"
Macquarie_Australia,2018," has bound the target sequence of DNA from its slower migration through the gel (see Figure 2,3).
Protein Purification
The plasmids were transformed into BL21 (DE3) E. coli and expressed under auto-induction conditions. These cells were then harvested, lysed and purified using a Ni-NTA resin with standard His-tag purification protocols. Eluates were then run on an SDS-PAGE gel (Figure 1). The darkest bands observed above 100 kDa correspond to the expected dCas9 sizes which suggests the expression and purification was successful.
Figure 1. SDS-PAGE gel of the His-tagged dCas9 constructs. The darkest bands observed above 100 kDa are the expected sizes of the dCas9 proteins.  Lane 1 contains a 250kDa ladder. Lane 2 contains 3ple lysate. Lane 3 contains 3ple fraction 1. Lane 4 contains 3ple fraction 2. Lane 5 contains 3ple4QHP lysate. Lane 6 contains 3ple4QHP fraction 1. Lane 7 contains 3ple4QHP fraction 2. Lane 8 contains a 250kDa ladder. Lane 9 contains Rec2_HNH lysate. Lane 10 contains Rec2_HNH fraction 1. Lane 11 contains Rec2_HNH fraction 2. Lane 12 contains Rec2_HNH4qhp lysate. Lane 13 contains Rec2_HNH4QHP fraction 1.
In vitro CRISPR assay + EMSA
To test these dCas9 constructs we again included an electrophoretic migration shift assay as last year. As the dCas9 constructs were designed to not have nuclease activity, while retaining the ability to bind to the gRNA and target DNA, we set up variations of the in vitro CRISPR assay to track the progression of the target DNA, gRNA, cleavage products, and protein migration on a DNA retardation gel (6% acrylamide in TBE, ThermoFisher Scientific).
The four purified samples were subjected to three treatments (Figure 2, 3):
Pre-incubated: gRNA + enzymes (incubated at room temperature for 5 minutes in all samples)
Incubated: gRNA + enzyme + PCR product (further incubated for 1 hour at 37°C)
Deactivated: gRNA + enzyme + PCR product (further incubated for 1 hour at 37°C) and a deactivation step of 20 minutes"
SZU-China,2016," mutual communicating and suggesting. Fully taking the chance of four-school communication meeting and CCIC Summit Meeting, team SYSU-CHINA and we had deeper communication than other teams. Debugging for each other, we found out problems of the presentation and figured out the solutions together. While making the judging form website, we also shared experience. Thanks to the help from the team leader of team SYSU-CHINA, we successfully finished our judging form.
Collaboration with team BGIC_China
Team BGIC_China is one of the high school iGEM team in Shenzhen. Their project of this year required them to condense and desiccate their biological samples on filter papers, which they lacked in laboratory. Thus, we helped team BGIC_China by lending out our lyophilizer to them. They came to our laboratory to operate the last step of their experiments before lyophilizing and used our lyophilizer to condense and desiccate their biological samples, finally finishing their project.
The Next day we did a questionnaire on what they think about our project and some other questions. Including what they think about GMO, how well do they know about energies.  The details of the result will be shown in the engagement part. We also spent some time to design a fun booklet that holds simple knowledge of synthetic biology and other science knowledge to handout to them. Since most of them stopped their education at primary school, we want to teach them some simple and interesting science knowledge in this way and encourage the children to get more education.
At night we called the whole village together and had a public presentation on science. The knowledge we taught are useful so they listened very carefully. We told the children why they look like their parents. Most of the people in the village first heard about DNA. And they don’t believe giving birth to a boy is entirely depend on the father before we told them. And to make the knowledge simpler, we even draw a lot of cartoon figures before we went to the village to help them understand.
From the experience to the countryside we finally knew about the actual difficulties they are facing in their daily life， and that is exactly what we should try to solve for them.
SU->SMS
SMS_Shenzhen is also one of the High school IGEM teams in Shenzhen. However, this year this team with little competition experience has met some problems related to their school policy and teachers. Because of their school policy, the team members of SMS_Shenzhen could not use their school’s laboratory to do experiment during the summer holiday, and at the same time they haven’t got much"
UCL,2016," the UCL iGEM 2016 entrepreneurial ideas was made by iGEM team members for iGEM teams. Our software platform would not be optimised for use unless we obtained user feedback from iGEM teams. Hence, we collaborated with over 69 iGEM teams, to gather feedback to shape our alpha version for use in their projects.
High school teams
We also helped the CLSB-UK iGEM team characterise one of their parts as they did not have a spectrophotometer at their high school. We measured the optical density of a culture of Synechocystis over the course of 5 days. CLSB-UK needed the optical density readings to check that their method of using a colorimeter with a particular filter was working. We obtained the started culture with the growth medium and obtained the data by incubating the culture at 25C with light with mixing. The Synechocystis we obtained data from was non-transformed with no foreign genes.
Figure 1:The data we generated to standardise the growth curve of CLSB (and coloured green appropriately)
Figure 2: The algae at the start were clear
Figure 3: The algae grew, and the culture turned green
Collaboration with Dundee iGEM team
Following our talks with Aubrey de Grey and Filipe , we really wanted to conduct experiments that show that our lycopene probiotic can survive in the gut and acidic conditions of the stomach. We were very lucky to have met with Dundee GEM team at the UK GEM meet up where they told us about a stomach simulating device that they own. The bacteria in a sealed container and reconstructing the conditions found in the stomach. A manual pulley system replicates the churning of the stomach with an acidic environment.
We sent out a slab of bacteria that contained our lycopene biobrick within it, to test whether our bacteria could survive in the stomach, in order to provide proof that our probiotic idea would be functional in the human body. Dundee then measured the growth of our bacteria by taking optical density measurements every 15 minutes for an hour since adding it to their device. The results were extremely promising; our genetically modified bacteria grew successfully in their device. The full discussion and our results can be seen on the demonstrate page.
UK iGEM MEET-UP: Organised by Westminster - 18th - 19th August
Not only were we able to meet up with most of the UK iGEM teams but we also got a chance to present our project for the"
