team,year,text
UCLouvain,2018," We able to share our concern about different aspect of the contest such as the modeling part, etc. It was great to have this opportunity to help each other before the rush time. That allowed both of us to take a step back and                 set up a good approach from the beginning of the adventure!
Collaboration with iGEM Paris Bettencourt (France)
We had the opportunity to meet with Santino Nanini. Santino made Celestin a visit of their workspace and building. As you can see they are located in a central area, with a stunning view of Paris. We exchanged ideas on the brainstorming                 approach. We both knew that we wanted to solve a antimicrobial resistance problem so we shared our visions. It was a great science talk that helped both of our team to take take a step back and share point of view. But beside the                 science talk we also shared our management approach, about how to efficiently manage the lab work, and everything else. Since we are teams over 10 people that is a crucial part of the work.                 After our first meeting in Paris, we kept in touch regularly to exchange our point of view and help each other on specific problems."
TecCEM,2017," absorbance at 600 nm in 2, 4, 6 and 8 hours to observe the increase of RNA seen as biomass and blue color presence indicating more Blue Chromoprotein in each sample. TecMonterrey GDA Collaborations
iGEM Peshawar
We assisted them by giving some feedback about their project ideas so that they could develop the best option. Peshawar Collaborations
iGEM Nebraska
We had a skype call to talk about our projects and GMO policies in our country. We also shared information about CO2 regulations in Mexico. UNebraska Lincoln Collaborations
iGEM CHILE
We established a Latin American contact network where all the teams posted their profile including the individual conflicts each team suffered due to the fact that in our countries science is not supported. We provided them the contacts of iGEM Tec Chihuahua and iGEM Tec Guadalajara. UChile Biotec Collaborations
iGEM IONIS
We helped them answer a survey about GMOs in Mexico, sharing it on social media and spreading to many people locally. IONIS PARIS Collaborations
IGEM_TECCEM
Mail: igem.tec.cem@gmail.com"
Marburg,2015,"Team:Marburg/Collaborations
Overview
Fact Sheets
NUTRInity - Provide
NUTRInity - Pick up
NUTRInity - Cut off
Future Application
InterLab Study
Measurement Study
iGeneration
Hessentag
KillSwitch Statistics
Parts
Results
Medal Fulfillment
MeetUp
Game of Cells
Lab Book
Protocols
Bibliography
Members
Acknowledgement
Attributions
Gallery
KillSwitch Statistics
iGEM Marburg - ZSM Karl-von-Frisch-Straße 16, D - 35043 Marburg"
Pasteur_Paris,2016,"Team:Pasteur Paris/Collaborations
About us
Our team
Attribution
Sponsors
Project
Context
Overview
Design
Science
Devices
Research & development
Methodology
Design vs Biology
Labwork
Safety & Security
Protocol
Notebook
Results
Human Practice
Integrated Practices
Collaborations
Scenarios
Meet-up
Communication
Law
Parts
Description
Achievements
Medals
Special Prizes
Awards obtained!
click here
Collaborations
Collaboration with the other iGEM teams
In the course of our project, we established collaborations with several iGEM teams.
Collaboration with TU-Delft
Firstly, we established a collaboration with the IGEM TU Delft team , after realizing that our two projects had one component in common: Biosilica. Since we had already done an extended bibliography search on this topic, we helped them by sending them some links on refractive index measurement methods using the surface plasmon resonance technique, and a couple of other articles we believed could help their project. Additionally, we talked with them (via Skype) about the poly-silicate structure and the optical effects of biologically produced poly-silicate. Then we sent documents to help them for their literature search. In the biomineralization paper we pointed to them that the experiments (silification of wood in the laboratory, Gotze et al, pg 275) performed, and the analysis showed that materials that were deposited have a peak size of 20 nm or so, and spectral analysis shows absorption at 500 nm (similar to Opal). Some similar values of the optical characteristics of bimoneralized silica. Here is the references of these papers, click on the book to Download them:
Following an interview on Skype we also talked about laboratory manipulations. This led us to help them in protocols on labwork for their protein purification, we advised them to use a His-tag (A polyhistidine-tag or Histag) which is an amino acid motif in proteins that consists of at least six histidine residues, often inserted at the N- or C-terminus of the protein. Various purification kits for His-tagged proteins are available from Biorad, Qiagen, Sigma, GE Lifesciences, and others. We also helped them to develop a testing strategy for expression and validation of expression, especially with the choice of methods of induction (IPTG,  growth curves, taking the OD (optical density) at different times, and methods of comparison whether or not there has been expression SDS-P"
Manchester,2017,". In Brazil, there is a registry for biological products. In Japan and Korea there is no such law for GMM products. In Indonesia, supplementary documents must be submitted to use GMM biological foods and products. In Australia, there is no such law for GMM products.
In terms of international trade (export, import), countries like the United States, India, and Korea have clear laws detailing the procedures. They have taken permission and submission of documents to the law regarding this export and import of GMM uses. In European countries, these directly come under the laws of regulations of GMMs. There seems to be no specific laws regulating international GMM trade in Australia, Japan, Korea and Canada.
The most important documents related to GMMs are concerned with biosafety, food, trade and production processes. In places such as India, European Union, United States, Brazil, Japan, Canada, there are many different laws regulating each of these issues. On the other hand, Korea, Indonesia, and Australia have only one or two laws governing all these issues.
*Click on each flag to see the response of each individual team!*
1. Coordinated Framework for Regulation of Biotechnology (1986)
2. Plant Protection Act
3. Federal Food, Drug, and Cosmetics Act (1992)
4. New Animal Drug Application
5. Public Health Service Act
6. Toxic Substance Control Act
7. Federal Insecticide, Fungicide, and Rodenticide Act
8. National Environmental Policy Act
1. Voluntary labelling and advertising of foods that are and are not products of genetic engineering Canadian General Standards Board, 32.315- 2004 Reaffirmed May 2016
2. Foods and Drugs Act, R.S.C., 1985, c. F-27
3. Canadian Food Inspection Agency Act, S.C. 1997, c. 6
4. Consumer Packaging and Labelling Act, R.S.C., 1985, c. C-38
5. Canadian Environmental Protection Act, 1999, S.C. 1999, c. 33
6. Natural Health Products Regulation, SOR/2003-196
1. Directive 2001/18/EC on the deliberate release of GMOs into the environment
2. Regulation (EC) 1829/2003 on genetically modified food and feed
3. Directive (EU) 2015/412 amending Directive 2001/18/EC as regards the possibility for the Member States to restrict or prohibit the cultivation of GMOs"
UNIK_Copenhagen,2016," own Human Practices Workshop and the Modelling Workshop we all co-hosted at the University of Copenhagen Campus, and all the many social events we shared together. We have all been integral in the development of each other's projects.
Gothenburg-Chalmers are fellow proponents of the co-culture, and frequent guests of Copenhagen at our own workshop and at more casual social calls. We have been in dialogue with them throughout most of the project, and we have shared insights and experiences with each other. Similarly, we have engaged in dialogues with XMU-China and they were kind enough to include us in their global newsletter, combining knowledge of most teams in iGEM (anyone that took up their call).
Munich United 2016 needed help with a survey, whitch we of course helped with."
Cambridge-JIC,2015," using the 3W LED means that the uniformity of illumination must be improved.
RFP is more challenging to image, as it has a narrow gap between the excitation (584nm) and emission (607nm). For more information, see the Modeling Page .
UK Teams Meetup (Organised by Westminster Team)
Bringing microscopy to iGEMmers
In order for UK iGEM teams to meet, socialise and discuss their projects ahead of the Jamboree, the Westminster iGEM team organised a two day meeting in London. As the Hardware track was new to this year’s competition, and being the only team following this track in the UK, we felt this would be a fantastic opportunity to introduce other teams to the track and highlight the important role of hardware in synthetic biology.
Our workshop took the form of three stations, each covering a slightly different aspect of our project and each with a different discussion focus:
Optics Bench
A working set-up of our first optics bench, and demonstration 3D printed material. Discussion points:
3D printing and rapid prototyping
Principles of open-source hardware
Inverting the Raspberry Pi camera lens
Field of view and resolution calculation
Microscopy Awaits
A working set-up of our latest microscope prototype, brightfield and fluorescence modes, fully motorised and video streaming to the Webshell. Discussion points:
Importance of, and our difficulty with, illumination
Remote control over Webshell
Epi-cube explanation
Stage flex-principle demonstration
Build Your Own
An interactive demonstration on building our microscope from scratch. Discussion points:
Importance of documentation and instructions
Design choices
Discuss improvements required
How to use Arduino and Raspberry Pi
The entire team was involved, and this allowed members of other teams to chat and ask questions at all three stations while the equipment was being run.  The level of enthusiasm from other team members was extremely encouraging, and we were very surprised by the number of questions about the hardware track in general. We hope that as a result of our worksop, some teams may consider it for next year’s competition.
Perhaps one of the most important outcomes of the workshop was in raising awareness of the role of open source hardware (OSH). We emphasised the degree of collaboration and community that it fosters, in the context of our own project. Underlying this is the ability of other iGEM teams to build, modify and improve our microscope in the spirit of OSH and the competition. We invited and encouraged other team members to look at our designs, tinker with them and think about how they might alter"
AHUT_China,2018," the project was promoted. Both sides regard it as a fairly successful collaboration.
Thanks to the iGEM team of Northeast Forestry University (NEFU-China) for their help！
 
 
TEAM
Team Members
Attribution
PROJECT
Overview
Background
Protocol
Design
Demonstrate
Interlab
Result
Notebook
Parts
Improved Parts
New Parts
Modeling
Model
HP
Overview
HP for Silver
Integrated HP for Gold
Public Engagement
Collaboration
Collaboration
Anhui University of Technology is located in the national civilized city, Nanjing metropolitan core cities - Ma'anshan City, Anhui Province. Anhui University of Technology is an engineering, metallurgical features, engineering, economics, management, arts, science, law and other disciplines coordinated development of key construction in Anhui multidisciplinary university, with ""The Master, Bo"" complete the multi-level education training system.
Copyright 2018 @ AHUT iGEM Team , All rights reserved ."
WashU_StLouis,2015,".8429
1015.163
1209.877
1264.212
1315.57
1357.981
K314 BL
-8.43465
15.72279
1.453781
-3.78406
-2.3278
6.720794
9.938088
4.964394
3.861306
K314 MG
5.330489
14.25744
4.283113
6.862779
9.546254
12.05553
22.03645
25.21535
42.1722
B.
A. Finalized component average results for each component in varying inducer concentrations using our lab’s protocol. E. coli strain BL21 is designated by “BL,” and strain MG1655 is designated by “MG.” Values were obtained by taking the average of the fluorescence at each inducer concentration. Negative controls, which consist of the wildtype strain grown in each corresponding inducer concentration, were averaged and then subtracted from each component value. “R0010 BL” showed a 2x increase in fluorescence across inducer concentration; other components remained static.
B. Graph of finalized component average results with error bars showing standard deviations. R0010 in BL21 is designated by blue, R0010 in MG1655 orange, K314100 in BL21 gray, and K314100 in MG1655 yellow. No significant change in fluorescence was observed in any component other than R0010 expressed in BL21.
Additionally, we also used their protocol as a means to test the validity of the two parts. Similar to our protocol, stationary phase cultures were grown overnight. The following morning, those cultures were pipetted into their allocated rows with prepped, diluted inducer concentration corresponding to the appropriate column. The fluorescence values we measured followed no strict patterns and greatly differed from plate to plate. Since the deviations we obtained for each point were significant, the results from this experiment were inconclusive.
A.
IPTG (uM)
0.01
0.032
0.16
0.8
4
20
100
500
2500
R0010 BL
5785.255
2802.761
2188.519
1665.599
1735.535
7059.973
4351.779
6752.016
7127.856
R0010 MG
3995.355
1233.748
1018.414
757.1247
1126.204
"
UNebraska-Lincoln,2018," teams, about the EAB and its detrimental impact on North America.
One thing our team would have really liked to have done was assist Rolla in characterizing their BioBricks, however both of our projects were   in their early stages of development. We hope to continue both projects and have wet lab collaborations with Rolla next year.
UIUC Illinois
Last year, our team was nominated for the Safety Commendations for our work with a concept we call “Safety Cases”.  Safety Cases is a proactive technique that use an organized combination of structural units to help build arguments that prove the root goal of a project is safe.  This year we tried to further develop Safety Cases by launching a website to help other iGEM teams build their own Safety Cases.  Promotion of our online tool was difficult since it was released late in the iGEM season. However, we were able to get our friends from UIUC Illinois to try out the website.  They created their own general Safety Case and gave us helpful feedback. You can read more about it on our Safety page.
Thanks to Our Sponsors"
