team,year,text
AQA_Unesp,2017," research the benefits both, done together?
To industries:
Are you interested in work with universities to develop a biomanufacturing process that benefits you or improve your currently way of production? Is the communication with universities easy?
To politicians:
What do you think you or the government could do in order to encourage the industry to change its way of production to biomanufacturing?
How could the government work towards raise awareness on the general public about biomanufacturing?
Are there any laws in your country/region that regulates the biomanufacturing specifically?
By spreading the survey we were able to get 11 responses in our College and help with some data from academics.
You can see the details and the results of this collaboration on Harvard Team's wiki, here .
▲ top
United Kingdom: Manchester and Oxford Teams
We have collaborated with the Manchester Team on creating a document about GMOs legislation in different countries. In this document we covered things like the laws regarding the work with GMOs, commercialization, governmental institutions responsible for biosafety and the legal requirements use GMOs in your business. The teams Virginia (EUA) , Macquarie (Australia) , Botchan_Lab_Tokyo (Japan) , UChile_OpenBio-CeBiB (Chile) , ITB_Indonesia (Indonesia) , KUAS_Korea (South Korea) , IIT_Delhi (India) and UAlberta (Canada) were also partners in this collaboration.
In this collaboration, we aimed at creating a document that would illustrate that very depth and diversity of law. For this reason, the first issue we discussed is law-related politics, the second its bureaucracy, third law’s impact on business, fourth on science and finally on consumer behaviour.
This collaboration was very useful for us to understand the laws in our country as the research we undertook made us realize the complexity of Brazilian legislations regarding GMOs used for therapeutical reasons and the importance of the work we have been doing. Our project is to develop a new treatment for type 1 diabetes using a genetically engineered probiotic bacteria, which means that to this project became a real product someday, it would have to go under several safety assessments and approved to be used in humans.
Over this year, as we worked in our project, we were always worried about the legal requirements for a GMO like ours become a real product and how biosafety laws affect and guide the development of new GMOs. This document was very useful to us to research and understand the laws of our country, and also other countries, the steps that we would have to take"
BIT-China,2015,"18=0
Group B (Condition：5＜PH＜7)
Dx1=0
Dx2=-0.03*x2*x9
Dx3=0
Dx4=0
Dx5=0
Dx6=0
Dx7=0.02*x6-0.003*x7
Dx8=0.03*x7-0.03*x8
Dx9=0.07*0.2*x8/(((0.07+0.0005)/0.003)+0.2)-0.03*x2*x9
Dx10=0
Dx11=0
Dx12=0
Dx13=0
Dx14=0
Dx15=0
Dx16=0
Dx17=0
Dx18=0
Group C(Condition：PH=5，Terminate condition: x7=0)
Dx1=0
Dx2=0
Dx3=0
Dx4=0
Dx5=0
Dx6=-0.02*x14*x6
Dx7=0.02*x6-0.003*x7
Dx8=0.03*x7-0.03*x8
Dx9=0.07*0.2*x8/(((0.07+0.0005)/0.003)+0.2)-0.03*(10^(-14)/x11)*x9
Dx10= -0.003*x10*x11+0.002*x12
Dx11=-0.003*x10*x11+0.002*x12
Dx12=0.003*x10*x11-0.002*x12
Dx13=0.02*x12-0.002*x13
Dx14=0.03*x3-0.003*x14
Dx15=0
Dx16=0
Dx17=0
Dx18=0
Group D（Condition: PH＜5）
Dx1=0
Dx2=0
Dx3=0
Dx4=0
Dx5=0
Dx6=0
Dx7=0
Dx8=0
Dx9=0
Dx10= -0.003*x10*x11+0.002*x12
Dx11=-0.003*x10*x11+0"
Istanbul_Tech,2016," are graduated from university or are university students.
Also, both of participants are studying on engineering; especially Swedish ones. (Probably, Turkey is facing GMO foods much more than Sweden. So, it leads to having more people who are studying in different areas heard GMO at least once.)
Almost all the participants from Turkey and Sweden know what GMO stands for, Turkish population get to know this abbreviation from TV news mostly.
Interestingly, Swedish participants have a positive opinion about GMO, while Turkish participants have negative opinion on GMO. Actually it may be related with the education level in Turkey and also advertisements about GMO. Most of the Turkish people do not know that insulin also includes GMO idea while it is really useful for example. And this lack of knowledge that GMO’s help us in the field of medicine is stem from education problems in Turkey. They mostly know the GMO in foods and they think GMO products leads to cancer so they think GMO is a really bad thing which makes most of the people cancer.
Swedish participants mostly use education as a source of information on GMO, while Turkish participants are using scientific publications. So, it may be related with the education system differences between these two countries.  Turkish education system is not that good as Swedish one, so people must search for scientific publication to get to know more about GMO in Turkey.
Also, most Swedish participants think that these information sources on GMO are sufficient, while Turkish participants think similar but not that much as Swedish participants. It may be related with the question above. Swedish people are educated already about GMO but Turks are not so they do not think the information that they gained from scientific publications are as sufficient as Swedish people.
Economy of Turkey depends on agriculture substantially so interference of agricultural field engage attention of citizens. According to Turkish participants, GMO is quite similar as hormone-injected food and it causes unnatural diseases that are based on chemicals. Thus, Turkish participants might think that Fruit juice may have lots of GMO products. Also almost all Turkish ones prefer to label GMO product because of that reason. GMO production is not included in the Turkish education system. Maybe this issue should be given more space in textbooks.
Paris-Saclay iGEM Team
UNAMBG iGEM Team
For one of our experiments, Bilkent Team generously provided necessary primers for us, for this to be a cross-collaboration, we will provide them some restriction enzymes for their experiments.
Virginia iGEM Team
Washington iGEM Team
We collaborated with Washington iGEM Team for our design of a Do-it-yourself FRET measurement system.
We were thinking about a measurement device for our project, but"
UCAS,2017," defined vector X=(Conc, Conb)
Take this back into the differential equation, after simplify, get
Solve this set of equation, where C1, C2 is determined by the initial condition of the system.
Therefore, any system with specific initial condition could be settled. If we clear t out of the set of equation, we get the functions of the curves in the graph above.
Now consider what have been put aside in previous discussion.
Conc and Conb have their definition domains, let them respectively be [0,ConcMax]and [0,ConbMax]. This gives a limit to the possible state the systems can evolve. In other word, it limits the system inside a square frame.
As is supported by the experimental data, at the beginning stage of experiment with high environmental ammonium concentration, the gene circuit remains closed. Thus, we can consider Conc is small at this stage. The initial point of the system falls above L1.
From the graph, we can easily find the system confines Conc at a low level at the beginning stage of experiment. This explained why there is no GFP produced at the beginning of experiment.
On the other side, parameters x0, y0 cause the whole system to perform a spatial translation. In any timepoint, x0, y0 give the velocity of the motion. According to y0’s definition, the translation in Conb direction at any time always equals y0 multiplies the change of PII by that time. y0 is negative and significantly bigger than x0.
As the experiment proceeds, the environmental ammonium concentration decreases and the concentration of PII decreases together. The phase flow graph of our system gradually rises up and conduct a constant small translation in Conb direction. There is a special time when the concentration of PII reaches a threshold that the point of our system falls below L1 and L2. Therefore, the system evolves to maximize the Conc. That is when the promoter begins to function and this is the delay time we used as signal in our project.
After that point, the graph keeps rising, the Conc consequently keeps increasing. Thus, the promoter strength keeps increases over time and the reaction goes on for certain time.
In a nutshell, we simplify the gene circuits as a TCS and furtherly construct a differential equation describing the evolving law of this system. To solve this equation, we apply methods from studies of dynamic system. From detailed analysis, we prove that the delay time is a principally reasonable characteristic signal for this reaction. With experimental data supported, the delay time could be used as a special mark for both the promoter and"
UCL_London,2010," Pathway which would help prove that our genetic circuit works by being activated and releasing a red dye. a few weeks in, we realised that this particular part was not compatible to our circuit. At that point we had to decide on the use of another part, and so we took this as an opportunity to help Cambridge develop that part so that it is more suitable in its application. It was exciting and great to work closely with them and help them to improve and adapt there 2009 part, paving the way for them to potentially go ahead and characterize in the near future if not now. Cambridge Team 2010
Part: BBa_K274100
Name: VRDP
Location  Plate3_6H
Plasmid  pSB1A2
Base Pairs 3385
We even reviewed their part for them, to read the review click on the following Cambridge Part Review .
Bristol BSim Modeling
Having met some members of the Bristol team at Newcastle's iGEM workshop earlier in the summer, we became interested in each other's project, and especially in Bristol's BSim Modeling software. From that point onwards, we decided to set up a collaboration between the two teams. We can conclude that it was a successful, win-win collaboration in every aspect.
BCCS-Bristol and in particular Neeraj Oak and Tom Todd, were in very close collaboration with our Modelling & Medals Criteria Champion Elena Pallari, for the establishment of a fruitful co-operation. This multidisciplinary collaboration between team members of both teams emphasises the spirit of iGEM 2010. The model did work with some amazing video simulations of our genetic circuit based on the mathematical equations using the BSim software. A big THANK you from the UCL iGEM team 2010 to the BCCS-Bristol iGEM team 2010. Click on the following link to understand more about how the BSim modelling program works Bristol BSim
Click on the video to watch the simulation of the system with BSim from BCCS-Bristol. The music was performed by Elena Pallari and the musical arrangement by Loizos Pallaris.
Sheffield Team Questionaire
Sheffield's iGEM team this year conducted a survey amongst all the teams, and in the spirit of collaboration, we participated and answered the questions which overall focused on the ethical side of Synthetic Biology and so we wanted to contributre to this by filling out their questionnaire. A survey was conducted among iGEM Teams by the Team Sheffield .
METU_TURKEY_SOFTWARE Team Survey
Turkey's Software team"
Groningen,2016," genomic sequence of B. subtilis and E.     coli to potentially increase the     stability. It is followed by the sequence of the TetR system: a     quad-part inverter based on tetracycline that inverts the signal     since both riboswitches stop gene expression upon binding their     respective metabolite. The TetR QPI inverter reverses this process     and cause protein expression when the riboswitches have bound the     ligand of interest. This is the desired outcome in the overarching     project: a V. destructor sensing bacteria would ideally start with     the production of a toxin in presence of the mite. Instead of a     toxin, mRFP is used as a reporter gene.
iGEM Wageningen 2016 sent us these two BioBricks ( BBa_K1913011 and BBa_K1913012 )  they constructed, one to detect guanine and one     for vitamin B12. We helped them to show that the RFP expression is     controlled by the concentration of either vitamin B12 or guanine.     We could show an increasing RFP signal with increasing      concentration of vitamin B12 and guanine using a photometric     measurement with the plate reader (see protocol below). We also took     pictures of the cells at the microscope with and without vitamin     B12 or guanine.
Figure 3. BioBricks from Wageningen safely arrived      in Groningen and happily grow on our agar plates.
1. Photometric measurement of the OD600 and mRFP fluorescence
Grow E. coli in 3 ml LB with 35 μl/ml chloramphenicol  at 37°C     and 220 rpm for 16 h. Prepare a transparent 96-well plate with a     total volume of 250 μl. Provide 175 μl LB and  25 μl of the     appropriate concentration of guanine or vitamin B12. Dilute cells     to an OD600 of 0.5 with LB and add 50 μl of this dilutions to each     well. To measure the fluorescence the excitation and emission of     mRFP was set on 584 nm and 607 nm, respectively, with a bandwidth     of 5 nm. The absorbance was measured at 600 nm. Measurements were     taken every 20 min at 37°C with the plate reader (Varioskan LUX     Reader, Thermo Fischer). The results can be seen in Figure 5 and     6.
Figure 4. mRFP fluorescence and OD600 for E. coli"
USP_UNIFESP-Brazil,2016," future iGEMs and independent projects involving science awareness and DIY Bio.
Colegio_FDR Peru team Collaboration
Our team had some talks with Colegio_FDR Peru High School team, discussing the possibility to establish a mentoring partnership. We presented them our project and discussed how our team was organized, how we divided tasks among team members, our fund raising strategies, lab protocols and difficulties faced by Latin American teams when importing genetic materials. The full conversation can be found at the bottom of the page. Although we have not completed this proposal for this years competition, we believe we can work together in the future and mutually contribute as Latin American iGEM teams.
iGEM Matchmaker and Facebook
iGEM Matchmaker tool was used to find teams working with spider silk protein worldwide. We used our Facebook page to get in touch with IIT Kharagpur (India) and SDU Denmark teams, exchanging our issues on MaSp sequences polymerization procedures.
We also talked with the Linköping University team (Sweden) about using Chlamydomonas reinhardtii as a platform, CRISPR-Cas9 system and exchanged some scientific papers and lab protocols.
Valuable guidance was also received from the UCLA team, which had considerable experience working with spider silk proteins expression in E. coli.
Collaborations via Surveys
We also received Human Practices surveys from other iGEM teams on our Facebook page. We collaborated to the following surveys:
'Self-medication and nosocomial diseases' by iGEM TecCEM Collegiate 2016 team (Mexico);
'Entrepreneurship' by LMU-TUM_Munich 2016 team (Germany);
'DNA calculation and path planning' by iGEM Anhui University of Technology (AHUT_China) 2016 team;
'Spider Silk Production using Bacteria' by IIT_Kharagpur 2016 team (India);
'The Public Understanding of Agriculture' by NCTU_Formosa 2016 team (Taiwan)."
DTU-Denmark,2017,"EM team members with the basic lab competences required to perform a synthetic biology project as ambitious as iGEM. It also provided an opportunity to introduce fellow iGEMers to general lab safety and cloning techniques, while strengthening the social dynamics within the teams. To read more about the BioBrick tutorial, please take a look at our BioBrick tutorial page.
Nordic iGEM conference
In June, DTU BioBuilders went to the Nordic iGEM Conference (NiC) in Copenhagen hosted by UCopenhagen. During this weekend, DTU BioBuilders connected and shared their projects with the other Nordic teams.  DTU BioBuilders presented their project in a mini-Jamboree, where the requirements set by iGEM Headquarters were in focus. The mini-Jamboree gave DTU BioBuilders the opportunity to get a feel of the big iGEM competition in Boston and refine their project. Besides the mini-Jamboree and workshops, there was also time for barbeques and other social activities to get to know the other teams.
European MeetUp
In July, DTU Biobuilders went to the the European MeetUp in Delft hosted by TUDelft.  DTU Biobuilders presented their project at a poster presentation. It was a great occasion to share ideas and explore new possibilities about the project.
The 4th International Synthetic & Systems Biology Summer School (SSBSS)
The teams sent representatives to a summer school in synthetic biology, to reach out and present the project to their peers. At the summer school, we met up with the iGEM team from Greece, and presented our projects to each other, giving each other feedback and making suggestions for improvement of the projects.
Danish ethics and wiki workshop
This year SDU-Denmark hosted a workshop with focus on ethics and development of the wiki page. All the Danish iGEM teams participated in the workshop.   At the workshop, there were lectures and discussions on bioethics and how to make a good wiki page.
Collaborations
Events
FIND US AT
DTU BIOBUILDERS
DENMARK
DTU - SØLTOFTS PLADS, BYGN. 221/006
2800 KGS. LYNGBY
MAIN SPONSORS"
Lanzhou,2016," finish the pre experimental the fish experiment.
Fig 2 The construction of membrane protein working as anchor.
It is indispensable to investigate whether the surface-displayed E. coli is more potent for detoxification of mercury than common bacteria.
They found that the concentration of mercury ions should be kept at 0.1mg/l. Higher than the value, the fish would be death, lower than the value, the mercury content difference in fish is not obvious.
Fig 3 The survival fish under different suppress of heavy metal ions.
After their help, we identified our subsequent experimental program. (Fig 3)
The collaboration with XM UNI
The cooperation with Xiamen University has begun since the summer vocation. Working as a very kind and helpful team, they asked helping us in doing TEM to confirm whether the modified protein can be seen on the surface of the bacteria when they knew that we wanted to know whether the different treatment to the bacteria can influence the TEM figure.
They culture our modified bacteria and the control BL21 in the 50mL LB medium adding with 100ug/mL AMP. When the OD600=0.6, add 10ul 0.5mol/L IPTG in IC (Fig 1F). Culture in 16℃ for a night. Before adding ions in the bacteria, wash the bacteria with water. Then add Cu2+ in H-2 to the final concentration 25mg/L (Fig 1E), add Hg2+ to the other group to the final concentration 12.5mg/L (Fig 1C and D). Separate the control in two group and one of it add the same amount of ion in it (Fig 1A and B). After cultured for another 1.5h, observe them with the TEM.
Fig 1 The bacteria under TEM. (A)BL21(control) + Cu2++Hg2+ (B)BL21 (C)IC + Hg2+ (D)CC + Hg2+ (E)IH + Cu2+(F)IC + IPTG + Hg2+
Unfortunately, compared with before, although the new method of treatment didn’t perform well, we still show our faithful gratitude to them.
n return, we helped them build up a part consisted of RBS lacI and CFP (Fig 2). It is universally acknowledge that LacI is the regulator gene of lac operon in E. coli., which will inhibit the lac operon when expressed. LacI can bind to lactose and it cannot inhibit lac operon under excess lactose, then the"
Leiden,2018,"Team:Leiden/Collaborations
Although the mobile version has the same content, this wiki is best viewed on larger screens
Collaborations
During the iGEM competition we have prioritised building meaningful relationships and collaborations with other teams.         Through them we learned more about other projects, built friendships, experienced the diversity which is inherent to the competition and were able to further improve our own project.         Below are the highlights of our endeavors.
Determining HMF stress responses for iGEM Bordeaux
iGEM team Bordeaux saw an opportunity to collaborate with us when they found out through our social media coverage that our project involved the           detection of bacterial           cell stress.           iGEM Bordeauxs project is about producing a bacterial strain that transforms hydroxymethylfurfural (HMF)           to furandicarboxylic acid (FDCA). iGEM Bordeaux uses HMF in their project as an intermediate               to create FDCA HMF is a byproduct of the degradation of cellulose or other polysaccharides and is known to be toxic to bacteria. FCDA is a platform molecule that can be polymerized in plastics or biofuels.           Because HMF is a known toxin, iGEM Bordeaux suggested it would be interesting for us to test this on our bacterial stress detection system, and we wholeheartedly agreed.
Following a skype session to discuss the details of our collaboration, Bordeaux send us 2mL of solution containing 5 g/L HMF. This allowed us to test the compound at various concentrations on four of our stress detection strains: DnaK is involved in               the process of chromosomal DNA replication[1][2]. Read more about pDnaK on its iGEM registry page pDnaK, RpoE               has been shown to seemingly be involved in the exocytoplasmic stress response. Read more about pRpoE on its iGEM registry page pRpoE, pSoxS has been found to be involved in the superoxide pathway and responds to DNA damage. Read more about pSoxS on its iGEM registry page pSoxS and CspA is involved in cold-shock stress pathways. Furthermore, it is known that the transcription of the CspA-promoter can be               abolished almost               completely by the use of rifampicin or nalidixic acid[3]. Read more about pCspA on its iGEM registry               page pCspA.
Results of exposure to HMF show no stress reaction for the pCspA-G"
