team,year,page,text
ZJU-China,2015,Team:ZJU-China#Notebook_-_-_TEXT.html,"ectin in Streptomyces avermitilis.
17th Group meeting
5.14.2015
17th Group meeting. Discussed the results of the TEM. Tried to contact with a judge from PKU.
5.14.2015
TEM scanned our samples: using CNC to pack the Bacillus subtilis.
Completed the cover and comic of our proposal which would be handed in to SYNENERGENE.
Contacted with Hangzhou Termites control Institute.
5.14.2015
TEM scanned our samples: using CNC to pack the Bacillus subtilis.
Completed the cover and comic of our proposal which would be handed in to SYNENERGENE.
Contacted with Hangzhou Termites control Institute.
5.13.2015
Got the genome of tcdA1 and tcdB1 in NCBI.
Got TT01(a species of Photorhabdus luminescens) which could produce toxic protein. It would play an important role in our plan B.
5.12.2015
Successfully checked in termites and tc protein family.
16th Group meeting
5.10.2015
16th Group meeting. Communication between dry group and 3 wet groups. Arranged time for experiments.
15th Group meeting
5.7.2015
15th Group meeting. Further discussed the proposal and allocated the tasks. Continued to consult professors about several species of bacterium.
5.6.2015
Gave up synthesizing avermectin in Bacillus subtilis. Tried to overexpress avermectin in E.coli and then transformed its plasmid into Streptomyces avermitilis.
5.6.2015
Successfully got the solution of CNC!! And it appeared Tyndall effect.
5.4.2015-5.6.2015
Exams of spring semester.
5.3.2015
Our termite nest was sent out from Guangdong Province.
April
14th Group meeting
4.29.2015
14th Group meeting. 10 members would go to Taiwan for NCTU meetup. Results of consulting professors specialized in termites and Bacillus subtilis.
4.28.2015
Discussed the plan for embedding baterium with CNC and the self-assembly of CMC and chitosan on the surface of baterium.
Debugged the problem of synthesizing avermectin in Streptomyces avermitilis. Consulted professors specialized in synthesizing avermectin in Streptomyces"
BNU-China,2018,Team:BNU-China#Measurement_-_-_TEXT.html," the expression level and the growth-promoting effect. We also want to compare our engineered strain with those strains containing antibiotic resistance genes. Various experiments were held in this area. Results were scientifically analyzed and possible improving approaches were properly discussed. For more information, click here: Link (Intergrated Plasmid) Link (Further Improvement)"
SDU-Denmark,2017,Team:SDU-Denmark_-_-_TEXT.html," the advice of Mrs. Dienhart, we decided to reevaluate the means of implementation of the PowerLeaf to ensure that the need for accessibility and user-comfort is met.
Essentiality - She supported our notion if the needs for accessibility and changeability are met, the PowerLeaf could help ensure that citizens of Odense use and remain in the public space for a longer amount of time. Something that is valuable, not only to the individual citizen, but also to the community as a whole, as it creates a sense of city cohesion and hence a high quality of city life.
Mrs. Dienhart introduced us to several considerations that shaped large parts of our project. We do not know the needs of every urban area in Odense and consequently, we have aimed to create a device that is changeable to a city in movement such as Odense.
Furthermore, this interview was also a source of inspiration for our ethical and safety thoughts. While we ought to strive for a sustainable tomorrow, we do not necessarily have to provide an exhaustive description of what the future should look like.
Interviewing the City Renewal Project My Bolbro
Rikke Falgreen Mortensen is the manager of the Bolbro’s city renewal project called Mit Bolbro i.e. My Bolbro. We arranged a meeting with her with the intent of further investigating how the PowerLeaf could and should be integrated in an urban area of Odense, in this case the neighbourhood of Bolbro.
Bolbro is an old neighbourhood in Odense historically known to be the home of the working class. While Bolbro provides a homely atmosphere known to the locals, it has had a hard time attracting new residents. However, this is subject to change as the neighbourhood in 2016 received approximately 1.6 million US dollars to renew its city space and to create an even more appealing, and vibrant neighbourhood. This will be achieved by including the locals, as Bolbro is characterized by having a strong, engaging civil society. Mrs. Mortensen is not only an expert in urban renewal, but also in how to include local citizens in reshaping the public space in which they reside.
Mrs. Mortensen also argued that a changeable design would be the optimal solution to fit the challenges one faces in creating a vibrant, green city ambience. Such a task depends on different preferences, laws and needs. A technology needs to be both flexible and accessible to successfully contribute to the process of creating an engaging city environment. She showed great interest in our device and even offered to implement it in the parks of Bolbro, should the product become a reality.
We had a discussion"
UCAS,2017,Team:UCAS#HP#Gold Integrated_-_-_TEXT.html," to come.”
Apart from iGEM she is also a singer and a geek design aficionado. To her, the beat and melody have the magic power to sweep away all the tiredness and stress, while the fascinating design works are the spring of imagination and creativity.
Jianyi HUANG
If ONLY I’m a MATH MAJOR!!!
Jianyi is a junior majoring in biology and minoring in mathematics.
This is the second year that she has been on UCAS iGEM team and also the second year that UCAS has joined iGEM community. She likes playing with DNA fragments and create something interesting out of basic elements.Unfortunately, she always regrets she hadn’t become a math major, especially when tons of data drove her mad. The good thing is that she would be happy with everything as long as she could stay in lab.
As a second-year iGEMer, she organized group meetings and trainings of new team members in the first stage. Responsible for our DEGRADATION MODULE, she devoted most of her time in lab.
She is also fluent in English and wrote the PROJECT part of our wiki. She plays the guitar and doesn’t talk much.
Jingnan YE
Easily pissed off when just getting up
Jingnan is a junior double majoring in biology and material sciences and engineering at UCAS.
She sincerely appreciates her excellent teammates and awesome instructors working and learning with her during this enjoyable year, from which she discovered more about what she hates and will never try in her future research.
She spent most of her time in the lab and on her way to the lab, while successfully spared some time to arrange a couple of HP activities and do some paperwork.
Outside the lab she is also a music lover, a pop dancer and an amateur bodybuilder. She believes exposing herself to music and art can help her keep good mood when the experiment fails again, and regular exercise can keep her working in the lab for more than 15 hours without feeling exhausted.
Jiang WU
Crazy fan of Arya Stark
Jiang who wants to study alchemy is a sophomore majoring in chemistry at UCAS.
Though sufferring the frustrating failures which shouldn’t have been experienced at his age, he learned a lot and knew better about synthetic biology. Through all this one-year journey, he confirmed his ideal again to attempt establishing the biological world based on axiom system.
Making a plan, doing experiments and fail and planning again. Following this circle and eventually gained payback.
He is a chemist with an artistic heart, deeply attracted by CS and mathematics and has a"
Judd_UK,2017,Team:Judd UK#Pages#12424h5sd5_-_-_TEXT.html,"Team:Judd UK/Pages/12424h5sd5
Contents
1 Human Practices
1.1 March for Science
1.2 Bioblast
1.2.1 Interactivity
1.3 Presentations
1.3.1 Young Scientist Journal
1.3.2 Biology Society
1.3.3 Tonbridge Science Conference
1.3.4 Medical Society
Human Practices
March for Science
Awaiting Content.
Bioblast
<img src=""
"" style=""width:20%""/>
To introduce the lower school to synthetic biology and the ethics involved in this exciting field of science we created a weekly club within our school. We chose to make the club specifically for year 7s because by teaching them the basic principles of genetic engineering they can research further throughout their time in high school and form their own opinions about genetic engineering and potentially become the future iGEM team. The club provided the iGEM team with the opportunity to engage with the younger members of the school community and explore their opinions about the complex ideas we were introducing them to.
Each weekly 1-hour session in the BioBlast club built upon their knowledge about DNA and genetic engineering starting from the basics and gradually working up. We started by looking at cells and using microscopes to identify the nucleus, then in following sessions, we studied DNA and its structure. All our sessions had a practical element to keep students engaged since they were 11-12 years old. For example, when we were looking at the structure of DNA we used sweets to create 3D models - this was very successful as by the end of the session they could identify elements of the DNA structure. In following sessions, we transitioned onto Darwin and Mendel and the effect of genes on phenotypes (demonstrated by a practical involving Gelli-baff which mimicked natural selection) and then moved onto genetic engineering. It was in these sessions that big ethical debates were raised naturally by the students and lead onto organic discussions such as “Should we genetically engineer a ‘perfect’ human?” and “Is it ethical to genetically modify farm animals for agriculture?”.
It was very encouraging to see these debates developing without prompting from us and to see these issues discussed with a solid scientific background. In the final session, we played a board game created by the Exeter IGEM team in 2016 which taught the students about plasmid construction and illuminated the vast potential of genetic engineering- this was very successful as at this point the students had a solid scientific foundation and could follow along very well to a game created for slightly older students.
"
Rock_Ridge_Virginia,2015,Team:Rock Ridge Virginia#Team_-_-_TEXT.html,"Team:Rock Ridge Virginia/Team
HOME
TEAM
PROJECT
Description
Experiments & Protocols
Results
Design
PARTS
Team Parts
Basic Parts
Composite Parts
Part Collection
NOTEBOOK
ATTRIBUTIONS
COLLABORATIONS
HUMAN PRACTICES
SAFETY
MODELING
MEASUREMENT
SOFTWARE
ENTREPRENEURSHIP
Team
Instructor(s)
Mario Alejamdro Saavedra, AP/Honors Biology Teacher
Co-Captains (They are also team members)
Gwyneth Schloer
Sneha Misra
Team Members
Chris Vidal
Vignesh Valaboju
Aidan Jessup
Ajay Krishnavajjala
Arun Krishnavajjala
Ananya Dode
Angelica Noblezada
Gurveer Dulai
Jakob Jasin
Katarina Acosta
Megana Kasavaraju
Michelle Molina
Pavan Sastri
Pramod Grama
Ramya Kuruba
Sharen Singh
Shrunal Pothagoni
Sreya Palnati
Sudipti Bista
Tejasri Kilari
Uday Sidhu
Words from the Team
I joined iGEM because of my liver transplant for MSUD.  I saw iGEM as a way to help others by finding ways to prevent diseases like the one I was born with.   -Jakob Jasin, Team Member
Sponsors"
Wellesley_Desyne,2013,Team:Wellesley Desyne#Notebook#HeatherNotebook_-_-_TEXT.html,"unk inspired design. For the functionality, we added a panel for the twitter feed of messages, using JQuery to fill the queue and to create a sliding panel.
Tuesday: In addition to working on the design mock-up, I spent some time today working on functionality improvements, and debugging some of the issues related to the canvas dynamic resizing.
New ticker shows backward translation
Wednesday: Another feature we added is a panel for the protocol, so that the user can follow the instructions to execute the tasks of the application. This is also a sliding panel that can be toggled open or closed.
Thursday: Today I began to work on revisiting the ticker. Using a canvas animation, the goal is to have the DNA codons scroll across the top of the screen and convert to English at a specified point. One of the challenges I have encountered is adjusting the speed of the animation, since three nucleotide bases correspond to one English letter. Additionally, I spend some time re-implementing functionality of the lab protocol on the new html canvas.
Friday: As the summer research program is drawing to a close, Joanna and I worked on laying out our poster, writing abstracts, and implementing the new design. I finished reprogramming the functionality of the application, only to discover a bug in the execution. The images are appearing on some machines, but not others. This is a frustrating end to a busy week, but we’re making progress and moving forward.
Week 10: July 29 - Aug 2
Monday: Spent the day debugging the functionality issue. It was a challenge and took a longer time than I had hoped, but it felt very satisfying to finally solve the problem, and it is a relief to be able to move forward.
Tuesday: Today I recreated the DNA synthesis animation, so that each letter of the codon translation is animated to show the process of translation from English to DNA code in greater detail. This also helped to improve synchronization of execution as the translation is occurring.
DNA animation
Wednesday: With one day left, I finished the DNA animation and continued to improve the functionality. Also, we will be performing user studies with the MIT-Wellesley Upward Bound students on Friday, so Joanna and I discussed the user-testing protocol and created a questionnaire from which to gather data. This helped us to think further about the research perspective of our project and gathering the appropriate data for analysis. We are particularly interested in better understanding the potential of our application to facilitate learning. In the afternoon, Joanna and I met with Orit to discuss our user- testing protocol, and received helpful feedback and advice.
Thursday: Summer Research Poster"
Hong_Kong_HKUST,2014,Team:Hong Kong HKUST#human practice#start-up kit#database#data_-_-_TEXT.html," biology\""\""\"""",medal: ""\""Gold\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Latin America\"""",name: ""\""UNICAMP-Brazil\"""",type: ""\""Article\"""",description: ""\""Wrote an article about biofuels and land use in the perpective of synthetic biology\"""",medal: ""\""Gold\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""ArtScienceBangalore\"""",type: ""\""Workshop\"""",description: ""\""Explained synthetic biology and iGEM to schools\"""",medal: ""\""Bronze\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""ArtScienceBangalore\"""",type: ""\""(Social) Media\"""",description: ""\""Formed a Facebook page for all iGEM teams in India\"""",medal: ""\""Bronze\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""ArtScienceBangalore\"""",type: ""\""Art\"""",description: ""\""Created an online synthetic biology handbook for artists who wanted to get involved in biotechnology\"""",medal: ""\""Bronze\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""CBNU-Korea\"""",type: ""\""N/A\"""",description: ""\""N/A\"""",medal: ""\""Bronze\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""Chiba\"""",type: ""\""N/A\"""",description: ""\""N/A\"""",medal: ""\""Gold\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""HKU-HKBU\"""",type: ""\""Survey\"""",description: ""\""Conducted a survey on the public understanding of synthetic biology\"""",medal: ""\""Gold\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year: ""2009"",region: ""\""Asia\"""",name: ""\""HKU-HKBU\"""",type: ""\""(Social) Media\"""",description: ""\""Made a webpage to introduce synthetic biology\"""",medal: ""\""Gold\"""",advancement: ""\""No Championship\"""",medalForHP: ""N/A""},{year"
William_and_Mary,2017,Team:William and Mary#Outreach DB#scripts#alasql_-_-_TEXT.html,"3],props:s[o-2],expression:s[o],method:s[o-4]});break;case 656:this.$=""@"";break;case 657:this.$=""$"";break;case 663:this.$=!0;break;case 664:this.$=!1;break;case 665:this.$=new n.CommitTransaction;break;case 666:this.$=new n.RollbackTransaction;break;case 667:this.$=new n.BeginTransaction;break;case 668:this.$=new n.If({expression:s[o-2],thenstat:s[o-1],elsestat:s[o]}),s[o-1].exists&&(this.$.exists=s[o-1].exists),s[o-1].queries&&(this.$.queries=s[o-1].queries);break;case 669:this.$=new n.If({expression:s[o-1],thenstat:s[o]}),s[o].exists&&(this.$.exists=s[o].exists),s[o].queries&&(this.$.queries=s[o].queries);break;case 670:this.$=s[o];break;case 671:this.$=new n.While({expression:s[o-1],loopstat:s[o]}),s[o].exists&&(this.$.exists=s[o].exists),s[o].queries&&(this.$.queries=s[o].queries);break;case 672:this.$=new n.Continue;break;case 673:this.$=new n.Break;break;case 674:this.$=new n.BeginEnd({statements:s[o-1]});break;case 675:this.$=new n.Print({exprs:s[o]});break;case 676:this.$=new n.Print({select:s[o]});break;case 677:this.$=new n.Require({paths:s[o]});break;case 678:this.$=new n.Require({plugins:s[o]});break;case 679:case 680:this.$=s[o].toUpperCase();break;case 681:this.$=new n.Echo({expr:s[o]});break;case 686:this.$=new n.Declare({declares:s[o]});break;case 689:this.$={variable:s[o-1]},n.extend(this.$,s[o]);break;case 690:this.$={variable:s[o-2]},n.extend(this.$,s[o]);break;case 691:this.$={variable:s[o-3],expression:s[o]},n.extend(this.$,s[o-2]);break;case 692:this.$={variable:s[o-4],expression:s[o]},n.extend(this.$,"
UCAS-China,2018,Team:UCAS-China#Attributions_-_-_TEXT.html,"Team:UCAS-China/Attributions
HOME
PROJECT
DESCRIPTION
LIGHT TO COLOR
LIGHT TO ODOR
SOUND TO LIGHT
RESULTS
PROOF OF CONCEPT
DEMONSTRATE
SOFTWARE
HARDWARE
MODEL
IMPROVE
PARTS
BASIC & COMPOSITE PARTS
PART COLLECTION
HUMAN PRACTICE
OVERVIEW
GOLD—OVERVIEW
GOLD—ART X SCIENCE
GOLD—ORPHEUS
GOLD—GIFTS FOR THE WORLD!
SILVER—OVERVIEW
SILVER—COLLABORATIONS
SILVER—EDUCATION
SILVER—INTERVIEW
SILVER—PUBLIC ENGAGEMENT
SILVER—SAFETY & SECURITY
PEOPLE
MEET THE TEAM!
ATTRIBUTIONS
ACHIEVEMENTS
NOTEBOOK
CONTRIBUTIONS
SAFETY & SECURITY
ACKNOWLEDGEMENT
Team Accomplishments
Project:
The prototype of our project was raised by Yun DONG and Yiyi WANG in our brainstorm session in Feb. 2018. This idea was then modified and improved by Yuanli GAO. Our investigators Prof. Chunbo LOU and Prof. Jiangyun WANG helped in our project design. Our advisors Fankang MENG also offered help in project design.
Experiments:
Our experiments started in July 2017. As our team's leader, Yuanli GAO designed and monitored our experiments. He also did the primary work of data analysis. Our advisors Fankang MENG and Xiaohong LIU gave their suggestions on project design. Our experiments were accomplished with the joint effort of the following 9 teammates: Yuanli GAO, Yun Dong, Ziyi ZHAO, Zpeng XU, Yiyi WANG, Liangpu WANG, Yuyan NI, Zhaoying PAN.
Hardware:
Our hardware was designed by Zhaoying PAN, Yuyan NI, while Shiyang WANG participated in the discussion. Zhaoying PAN and Yuyan NI build the prototype device with accessible materials in our lab. Zhaoying PAN designed and made the final hardware.
Software:
Our software was designed by Yun DONG and Shiyang WANG. The software was written by Shiyang WANG.
Human Practice:
Yun DONG is the leader of our HP Squad. She accomplished most of the contact and interview work and record every HP activity. Jiachen HU and Yaru TIAN made the educational videos. Yuf"
