team,year,page,text
Bielefeld-Germany,2010,Team:Bielefeld-Germany#Project#Theory_-_-_TEXT.html," in the loss of binding capacity of the aminoglycoside to the 30S subunit of bacterial ribosomes, which would lead to inhibition of protein synthesis without the presence of the APH ( Begg EJ and Barclay ML, 1995 ).
As indicated by the first results, the reporter genes under control of the virB promoter showed a slight but measureable expression without any induction of VirA with acetosyringone. This basal transcription resulted in the growth of bacteria without induction of VirA at normal working concentrations of kanamycin of 25 to 50 µg mL-1 ( Sambrook J and Russell DW, 2001 ).
Concludingly, prior to the screening experiments it was necessary to adjust the concentration of kanamycin, which inhibits the growth of uninduced bacteria, while allowing bacteria to grow when an appropriate inductor was present and able to activate VirA. This analysis was performed using the method of determination of minimal inhibitory concentrations (MIC) as described below.
Determination of minimal inhibitory concentration (MIC) of kanamycin
There are several ways to investigate the susceptibility of bacteria to inhibiting drugs like antibiotics. Nevertheless, the result of all these tests is the amount of an assayed substance that inhibits visible growth of the bacteria, called the minimal inhibitory concentration (MIC). The most common way of determination is to grow bacteria in liquids with several concentrations of the inhibiting drug. This procedure is chosen mostly, since many different conditions can be measured at the same time by using microtiterplates ( Wiegand I et al., 2008 ).
As we planned not to use the kanamycin in liquid culture but in LB-Agar, we chose to determine the MIC at the same conditions as the desired experiment. Therefore, we planned to construct E. coli inhabiting the native VirA/G signaling system and a kanamycin resistance read out and plated a small volume in different dilutions on LB-Agar without kanamycin. The grown colonies could then be transferred to agar plates with rising concentrations of kanamycin using replica plating. By counting the colonies it should be possible to calculate the percentage of colonies that could withstand each kanamycin concentration. This experiment should be carried out with and without acetosyringone to determine a kanamycin concentration induced E. coli could withstand, while the same population of bacteria dies without the presence of acetosyringone.
Primary selection of virA variants with novel binding properties
After the determination of the MIC the screening for virA variants with new binding properties could be"
AHUT_China,2018,Team:AHUT China#HP FOR SILVER_-_-_TEXT.html," bricks and two new biological bricks will be submitted.
    ②We voted on the wiki design.
Through the discussion in this meeting, we asked the modeling group to model the reaction of carbon dioxide airflow with saturated carbonic anhydrase solution after the investigation is made clear. The work of each group will set the Deadline mechanism and strictly stipulate the completion time.
Conclusion: Our IGEM team of Anhui University of Technology discussed and solved various problems in the progress of our project through conferences.And our final project has been improved;the members have more and more trust in each other.The conference is still going on, and our story is still going on.I believe that  IGEM team will be able to achieve success in this year's competition!
    5.  Meeting of four schools
September 9, 2018, We arranged a video conference with members from northeastern university, Shandong University and northwestern University. During this time, we briefly introduced our project background and project ideas and planned the agenda of the meeting. As the greenhouse effect has become a common concern in recent years, how to effectively capture carbon dioxide has become a worldwide problem. At present, carbon dioxide capture mainly includes absorption, adsorption and membrane method,which are renewable energy consumption of high cost and have twice as many pollution problems. The use of CO2 to capture the high catalytic efficiency and environmental friendliness of the carbon anhydride has aroused wide concern.
Fig.8 Meeting with three other universities
So our Anhui University of Technology team put forward a project on the generation of carbon anhydride through E. coli to absorb carbon dioxide. First of all, our project successfully expressed the Wide-type carbonic anhydride enzyme in Escherichia coli, however, due to its poor stability and ease of deactivation, its industrial applications were limited. Therefore, based on the molecular simulation technique, the effect of mutation of amino acid residues on the conformation and activity of enzymes was studied, and the mutant carbonic anhydride with high thermal stability was obtained. The experimental results show that the purified mutant carbonic anhydride has higher stability and activity than the wild type of carbonic anhydride enzyme, which realizes the effective capture of CO2. Northeastern university, Shandong university, and the members of Northwestern University have expressed their strong interest in the project of Anhui University of technology, so we have the highlights of our project and other members of the school exchange. Highlights: 1, Instead of the high cost, high efficiency and poor circulation of traditional methods"
Tuebingen,2018,Team:Tuebingen#Demonstrate_-_-_TEXT.html," complex formation brings vesicle membrane and cell membrane into close proximity, which leads to merging of both membranes. In neuronal cells, synaptic vesicles store neurotransmitters that are released upon stimulation of the cell. This exocytosis process is, among other things, is regulated by Syntaxin1a. Syntaxin-1A is a known substrate of botulinum neurotoxin C, a protein with metalloprotease activity which prevents the exocytosis of neurotransmitters into the neuromuscular junction. Consequently, this leads to flaccid paralysis symptoms of the illness botulism.
SNAP25
BBa_K2689002
Synaptosomal-associated Protein 25 (SNAP-25) is a t-SNARE protein involved in the regulation of membrane and vesical fusion. It is integrated into the membrane via palmityl side chains and faces the cytosolic side. Together with Syntaxin-1A and Synaptobrevin-2, it forms the SNARE complex, in which it contributes 2 a-helices. This complex brings together vesicle membrane and cell membrane, which leads to the fusion of both. In neuronal cells, this leads to the exocytosis of neurotransmitters into the interneuronal junction. SNAP-25 is a known substrate of botulinum neurotoxin A, C and E, a protein with metalloprotease activity which prevents the exocytosis of neurotransmitters into the neuromuscular junction. Consequently, this leads to flaccid paralysis symptoms of the illness botulism.
Omomyc
BBa_K2689003
Omomyc is a dominant-negative mutant of Myc, a family of proto-oncogenes encoding for transcription factors which regulate growth, proliferation, tumorgenesis, and apoptosis. Myc dimerizes with Max over its basic helix-loop-helix zipper domain. This heterodimer then binds to the DNA enhancer box (E-Box) sequence and thus regulates the expression of corresponding genes. In cancer Myc often is constitutively expressed, leading to increased proliferation signals and thus to excessive tumor growth. Omomyc possesses a mutated basic helix-loop-helix zipper domain, in which 4 amino acids were exchanged: S57T, E64I, R70Q and R71N. These mutations lead to an altered dimerization behavior of the protein. Omomyc efficiently forms homodimers and furthermore also forms heterodimers with wild-type Myc, leading to a decreased formation of Myc/Max dimers. Accordingly,"
TUDelft,2009,Team:TUDelft#31 July 2009_-_-_TEXT.html,"✔
23
oriT E + P digest
2079
✖
24
pSB4C5 I
3896
✖
25
pSB4C5 II
3896
✖
26
pSB4C5 III
3896
✖
Made two plates without antibiotics.
Digestions were started:
position
parts
volume in µl
Upstream
BBa_I13522 pTet-GFP
27.0
H2O
15.5
Upstream
BBa_E0840 rbs-GFP-term
5.0
H2O
37.5
Backbone
pSB1C3
5.0
H2O
37.5
SPONSORS
 
COLLABORATIONS
Team Groningen and Team Amsterdam
Participants in survey
 
VISITORS
Retrieved from "" http://2009.igem.org/Team:TUDelft/31_July_2009 ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Austin_LASA,2018,Team:Austin LASA#team team members2.html_-_-_TEXT.html,XJuITF9fWZ1bmN0aW9uIEVnKGEpe2lmKEJnKXt2YXIgYj1BZztpZihiKXt2YXIgYz1iO2lmKCFEZyhhLGIpKXtiPWhmKGMpO2lmKCFifHwhRGcoYSxiKSl7YS5lZmZlY3RUYWd8PTI7Qmc9ITE7emc9YTtyZXR1cm59Q2coemcsYyl9emc9YTtBZz1qZihiKX1lbHNlIGEuZWZmZWN0VGFnfD0yLEJnPSExLHpnPWF9fVxuZnVuY3Rpb24gRmcoYSl7Zm9yKGE9YS5yZXR1cm47bnVsbCE9PWEmJjUhPT1hLnRhZyYmMyE9PWEudGFnOylhPWEucmV0dXJuO3pnPWF9ZnVuY3Rpb24gR2coYSl7aWYoYSE9PXpnKXJldHVybiExO2lmKCFCZylyZXR1cm4gRmcoYSksQmc9ITAsITE7dmFyIGI9YS50eXBlO2lmKDUhPT1hLnRhZ3x8XCJoZWFkXCIhPT1iJiZcImJvZHlcIiE9PWImJiFkZihiLGEubWVtb2l6ZWRQcm9wcykpZm9yKGI9QWc7YjspQ2coYSxiKSxiPWhmKGIpO0ZnKGEpO0FnPXpnP2hmKGEuc3RhdGVOb2RlKTpudWxsO3JldHVybiEwfWZ1bmN0aW9uIEhnKCl7QWc9emc9bnVsbDtCZz0hMX1mdW5jdGlvbiBRKGEsYixjKXtJZyhhLGIsYyxiLmV4cGlyYXRpb25UaW1lKX1mdW
Harvard,2017,Team:Harvard#HP#Gold Integrated_-_-_TEXT.html,"Team:Harvard/HP/Gold Integrated
Harvard OPTI POLY
Home
Team
Team
Collaborations
Attributions
Medal Criteria
Project
Description
Results
Model
Bioreactor
Microfluidic
Lab
Protocols
Notebook
InterLab
Parts
Human Practices
Human Practices
Integrated Practices
Public Engagement
Integrated Human Practices
Global Perspectives Outreach Overview
Many iGEM teams seek to contextualize their work by getting input from professionals who have been working in the field for years or even decades. However, once teams gather this information, they put it in their Jamboree presentation and on their wiki, but after that, the information sits unused. The goal of this effort was to collect information about the future of the biomanufacturing industry and research from major stakeholders in science and beyond. To do this, we recruited other iGEM teams from around the world in order to establish a common set of questions to ask people from several fields that are essential to the proliferation of biomanufacturing (e.g. academia, business, public policy,), and recorded the answers we got from experts around the world. We wanted to understand how people in different parts of the world feel about the promise, feasibility, and drawbacks of biomanufacturing, so the we needed to have as many teams from as many places as possible participate in this effort. The questions we compiled were general enough that any biomanufacturing-related project could make use of them. We hope that future teams will continue and expand this effort, building off of the questions and answers we have assembled here. Eventually, we would like to see a massive effort to standardize the way iGEM teams get input from expert sources, almost like a survey version of the Interlab Study!
Thank you to all the iGEM teams who participated in our global effort!
Aalto Helsinki
AQA Unesp
Hamburg
Linkoping
Findings
This survey was a first attempt at starting something that will hopefully grow and become more rigorous over time. The results that we collecter are not “statistically significant” and we cannot make any sweeping generalizations about the future of the field based on this survey, but there were a few prevalent trends among the answers that we received to the survey. In general, the respondents felt that the major barriers to progress for biomanufacturing are cost and efficiency. Furthermore, there is a generally positive outlook on the future of biomanufacturing. 80% of survey members who identified themselves as academics felt that biomanufacturing will eventually outperform traditional"
SUSTech_Shenzhen,2018,Team:SUSTech Shenzhen#Human Practices_-_-_TEXT.html,"Team:SUSTech Shenzhen/Human Practices
Home
Project
Overview
Motivations & Novelty
Project Design
Methods
Results
Engineered Cells
Engineered Systems
Outreach
For judges
Demonstration
Achievements
References
Hardware & Modeling
DOUBLE EMULSION SYSTEM
The Principle
Components and Reagents
Protocols
Analysis and Advantages
Troubleshooting and Future
MICRO-WELL SYSTEM
Fabrication and Principles
Aim of the System
Protocols
Analysis
Troubleshooting and Future
Modeling
Overview
Genes Prediction of Wnt Secretion
Kinetics of Wnt Signaling Pathway
Model of Encapsulation
Human Practices
Overview & CCC Project
Overview
HUH?
EMMM...
 
OOOPS-
DING~
BANG!
Required events
Collaboration
Education & Public Engagement
Safety & Responsibility
Integrated Human Practices
Others
Parts
Overview
Gold
Silver
Bronze
Team
Members
Attributions
Acknowledgement
Notebook
Calendars
Protocols
Materials
Human Practices
The Furthest Distance in Biology
These days, it is the confusing and turbulent media such as TV and Internet news, rather than the scientific details that researches are working on, that put sands in the wheels of the general crowds’ understanding of biological concepts. Although the development of the scientific studies in increasing at a tremendous speed and the investment into these researches have reached astronomical figures, the public (someone like your parents and friends) remain in a state where they don’t understand or don’t have any reliable methods to know more about biological concepts that are related to their own life. What’s worse, things can get increasingly harsh when you realize that the gaps between you and your friends or your families are something as simple as what they eat, how they live and they drugs they take. This year our team have put huge efforts into this problem and tried to reveal, investigate and analyze the distance with extensions through which we appeal efforts from the scientific field, the government and the public to work together and minimize the gap. We paid our attention to the C ognitive gap of syn-bio C oncepts in C hina named as CCC project.
CCC Project
Huh
Our team have found out this cognition gap that existed for so long in China. Through the daily discussions we have with our parents, friends and even peers from the same university, we have realized how serious this problem is.
Emmm
On realizing the problem, we decided that we literally had no handful tools to help us on these concerns. After"
TUDelft,2018,Team:TUDelft#Human Practices_-_-_TEXT.html," Stirling University, at the VvBN (Dutch Society for Movement Science) conference in Utrecht on May 17. We stayed in touch and received great input from him on social aspects of doping as athlete privacy, behavior, regulation and education. This resulted in mutual interest in each other’s research activities upon which we were invited to give a seminar on our project for experts in the field of doping and genetics at the University of Stirling on August 30th 2018. After this seminar we organized a discussion on how gene doping is different from currently more conventional types of doping and on how to best react to these differences, through regulation and/or education. In the drop-down below the case studies we prepared for the discussion can be found.
Very interesting presentation. Really impressed about the openness of @TUDelft_iGEM in presenting a model for testing #genedoping . Definitely a turning point to something new on this topic... @wada_ama
— Nicola Busca (@Bogpolis) August 31, 2018
Figure 4. Twitter comments on our seminar and expert discussion in Stirling, showing the impact and some new questions that arose.
Case 1: Intergenerational Responsibility
Many vectors could be used for transfecting people with gene doping. Some of them might be able to (accidentally) infect peoples’ germ line cells, thereby affecting their offspring. And there is the concept of designer babies where parents can decide on their children’s characteristics? In some countries this is more under debate than in others.
Questions:
With whom resides the responsibility if this child becomes an athlete and how could we solve this problem?
During illegal doping, vectors might also be released into the environment, affecting other organisms. How big would this problem be and how could we map and control it?
How can we learn from other examples of intergenerational responsibility?
How can we control gene doping throughout society in a world where bioethical views differ over cultures?
Case 2: Where do we take it?
Suppose, at some point gene doping detection works about as well as the detection of the doping methods that are more conventional now. Gene therapy however, has come to be extremely safe. The border between medical and performance enhancing treatments is fading away and it has become extremely cheap and accessible to everyone.
Questions:
Do we still want to combat gene doping in this case?
The objective of sports as was set out by Ancient Greek tradition was the creation of the perfect human. With a case like this, are we bypassing this objective or enabling it?
Would human characteristics converge or rather diverge"
UCSF_UCB,2014,Team:UCSF UCB#notebooks.html_-_-_TEXT.html,"TRP
123
CB008 pTET-GFP::LEU2 pCLG1-rtTA::URA3 pTET-mfalpha::HIS  pPCL2+mCherry::TRP
124
CB008 pTET-GFP::LEU2 pASG7-rtTA::URA3 pTET-mfalpha::HIS  pPCL2+mCherry::TRP
I. Yeast Transformation
       - redo of 8/13 II.
       - Results (8/20): all failed, redo?
Tuesday August 19, 2014
Kilobot workshop!
Wednesday August 20, 2014
Kilobot workshop!
I. Yeast Transformation
       - CB008 AFRP+rtTA pTET+GFP pTET+mfalpha add in pPCL2+BFP
       - PRM1, PRM2, PRM3, YDR124W, CLG1, ASG7, HYM1
Thursday August 21, 2014
Kilobot workshop!
I. Yeast Transformation
       - CB008 pTET+GFP, add in AFRP+rtTA: SAG1 nd PCL2
       - PRM6 and ECM18 suspended due to poor expression
Friday August 22, 2014
Kilobot workshop!
Week 12
Monday August 25, 2014
Results: Friday 8/22 Transformation failed
I. Make cultures for Yeast Transformation tomorrow
II. Linearize plasmids for Yeast Transformation
Culture
Added part
CB008 pTET+GFP m3+rtTA
pTET+mfalpha
CB008 pTET+GFP m6+rtTA pTET+mfalpha
pAGA1+mCherry
CB008 pTET+GFP
SAG1+rtTA
CB008 pTET+GFP
PCL2+rtTA
CB008 pTET+GFP PRM1+rtTA pTET+mfalpha
pPCL2+BFP
CB008 pTET+GFP PRM2+rtTA pTET+mfalpha
pPCL2+BFP
CB008 pTET+GFP PRM3+rtTA pTET+mfalpha
pPCL2+BFP
CB008 pTET+GFP YDR124W+rtTA pTET+"
UFAM_Brazil,2014,Team:UFAM Brazil#10-4-2014_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:UFAM Brazil/10-4-2014
From 2014.igem.org
Home
Team
Attributions
Our Journey
Project
Abstract
Background
Modeling
Bidirectional Promoter
Biosensor
Bioaccumulation
Bioremediation
Safety
Judging
Biobricks
Achievement
Results
Notebook
Bioethics
Protocols
Lab Notes
Human practice
10/04/2014
Hi, what’s up?! Today the team had a meeting to start the experiment design to quantify remediated mercury by DH5α with the construction BB_Essential + BB_Bioremediation. We’re going to do two experiments:
- Measure cell growth of bioremediator Mercury bacter in LM medium on the concentrations of 1ug/ml, 2.5ug/ml, 5ug/ml, 10ug/ml and 20ug/ml comparing it to a non-recombinant bacteria.
- Quantification of remediated Hg by Mercury Bacter;
Back Next
Retrieved from "" http://2014.igem.org/Team:UFAM_Brazil/10-4-2014 ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
