team,year,page,text
Austin_LASA,2018,Team:Austin LASA#team team members2.html_-_-_TEXT.html," faDotCircle: faDotCircle,\n  faDove: faDove,\n  faDownload: faDownload,\n  faDumbbell: faDumbbell,\n  faEdit: faEdit,\n  faEject: faEject,\n  faEllipsisH: faEllipsisH,\n  faEllipsisV: faEllipsisV,\n  faEnvelope: faEnvelope,\n  faEnvelopeOpen: faEnvelopeOpen,\n  faEnvelopeSquare: faEnvelopeSquare,\n  faEquals: faEquals,\n  faEraser: faEraser,\n  faEuroSign: faEuroSign,\n  faExchangeAlt: faExchangeAlt,\n  faExclamation: faExclamation,\n  faExclamationCircle: faExclamationCircle,\n  faExclamationTriangle: faExclamationTriangle,\n  faExpand: faExpand,\n  faExpandArrowsAlt: faExpandArrowsAlt,\n  faExternalLinkAlt: faExternalLinkAlt,\n  faExternalLinkSquareAlt: faExternalLinkSquareAlt,\n  faEye: faEye,\n  faEyeDropper: faEyeDropper,\n  faEyeSlash: faEyeSlash,\n  faFastBackward: faFastBackward,\n  faFastForward: faFastForward,\n  faFax: faFax,\n  faFeather: faFeather,\n  faFemale: faFemale,\n  faFighterJet: faFighterJet,\n  faFile: faFile,\n  faFileAlt: faFileAlt,\n  faFileArchive: faFileArchive,\n  faFileAudio: faFileAudio,\n  faFileCode: faFileCode,\n  faFileExcel: faFileExcel,\n  faFileImage: faFileImage,\n  faFileMedical: faFileMedical,\n  faFileMedicalAlt: faFileMedicalAlt,\n  faFilePdf: faFilePdf,\n  faFilePowerpoint: faFilePowerpoint,\n  faFileVideo: faFileVideo,\n  faFileWord: faFileWord,\n  faFilm: faFilm,\n  faFilter: faFilter,\n  faFire: faFire,\n  faFireExtinguisher: faFireExtinguisher,\n  faFirstAid: faFirstAid,\n  faFlag: faFlag,\n  faFlagCheckered: faFlagCheckered,\n  faFlask:"
TU-Delft,2012,Team:TU-Delft#test3_-_-_TEXT.html,iOwu0C5nlHkQiM0D+8oyNjp06dbD6lWrVrZ78iPhncUBQ9CDHNKRikq DUmQUdRHvQpFTQR5NZWMSuZaO0Sxo16ZCcxPKbCbXocCvx8Q8MgyUeS/KpOUst5RupueIs3Aqk2Y Qk2wXEVNRnEelCliwlFKFIpS4A9vxaNix44dsfb5JNYGJaMU+fD8889bUge5wQXK3U2P8bl161Yb jsq1MnaXLVtmc6nRt5F9ZsyYYdfD7du377fGQNTiRQyaN2+uCcwVNRJKRikUpUHJqL3kzNlllLAh dqGTgUewm167PGF/TUpInk45QMkoJaMU+wIvCbZ5JyYahTftiJqMwhOwf//+VlhCwVAoigXKLGE9 QkCtW7fOjB8/PtY+r2SUIk3Am5ZdGOkfkyZNclJnuWQUZBKEFAqF7JSHdyCfWQf4LOQyYy3oJcix Q4YMsZu7/OY3v6kRYe0KRRDFkFH0dYqMAV4ZI3jX8j/6PmOF73kv40fGmOw+SQGQ1evXr9fGV9RI 1HoyKhiyVkY5IMT1titmZ74C5zi21HMESKSLA2GEJd1bYIe9s5WMUjJKsS8QHghduOuuu2qEsBDX bnqckzZQKIrF0qVLzT333GMFFTB79mwb7oowHlefVzJKkSawZuBVe/fdd5sRI0Y4qbNcMioKL1pC 2hnnbPIiu1UqaicwQrzzzjs17roLkVGQUFOmTDGjRo2yxkrRCxYtWmSaNm1qN7wgl
BNU-China,2018,Team:BNU-China#Improve_-_-_TEXT.html," infused to our modified pUC19, just after lac promoter and RBS B0034. New plasmid is transformed into strain E. coli BL21-Stbl3. We also design another Stbl3 with plasmid contains VHb but without TorA signal peptide as contrast.
Fig.1
We select single colony from each plate culture medium then inoculate them into 20 ml LB fluid medium containing 0.1% antibiotics (except for wild type). Culture them in a shaking table at 37℃ overnight, then use M9 fluid medium to dilute them to OD600 reach 0.01. Here, each strain is separated into two kinds of growth.
Aerobic growth was conducted using 50 ml flasks containing 10 ml of culture medium under rotary shaking at 200 rpm; microaerophilic growth was conducted using a 50 ml flask containing 100 mL of culture medium under rotary shaking at 100 rpm. Collect 200 μl bacteria solution to 96well plate each 4 hours use microplate reader to monitor its OD600.
Fig.2 Growth Curve for VHB and Tor-VHB
Fig 3. SDS-Page gel result of periplasm protein.
Under aerobic condition, bacteria grow faster after adding TorA signal peptide, and the K value has improved. As for microaerophilic environment, bacteria can maintain stable growth trend for a long time after adding TorA signal peptide.
All these results suggest that our new part can make VHb work better than before and give bacteria growth advance.
Home
Project
Modeling
Achievements
Human Practices
Safety
Team
InterLab
© 2018 BNU"
BIT-China,2015,Team:BIT-China#Achievements_-_-_TEXT.html,"10]. Characterized Part BBa_K137058 and BBa_K907004 by fluorescence.
BBa_K1170003 : Experience
BBa_K137058: Experience
BBa_K907004: Experience
Proposed a functional prototype pH Controller to solve problems concerning acid and alkali by bacteria themselves. https://2015.igem.org/Team:BIT-China/Design
Integrated Human Practices of other iGEM teams, business and the public. From these activities, many biosafety and sustainability issues (e.g. If our production will have bad effects on fermentation or How can our project save economic costs) were identified, investigated and addressed in the context of our project.
https://2015.igem.org/Team:BIT-China/Practices
Collaborated with iGEM team BNU_China and TJU in modeling and experiments. Mainly including helping to construct Light regulation circuits for BNU_China and simulate P170 promoter’s function and compare various constitutive promoters’ strength for TJU.
https://2015.igem.org/Team:BIT-China/Collaborations"
Austin_LASA,2018,Team:Austin LASA#team team members2.html_-_-_TEXT.html,"Arrow = { prefix: \'fas\', iconName: \'location-arrow\', icon: [512, 512, [], ""f124"", ""M443.683 4.529L27.818 196.418C-18.702 217.889-3.39 288 47.933 288H224v175.993c0 51.727 70.161 66.526 91.582 20.115L507.38 68.225c18.905-40.961-23.752-82.133-63.697-63.696z""] };\nvar faLock = { prefix: \'fas\', iconName: \'lock\', icon: [448, 512, [], ""f023"", ""M400 224h-24v-72C376 68.2 307.8 0 224 0S72 68.2 72 152v72H48c-26.5 0-48 21.5-48 48v192c0 26.5 21.5 48 48 48h352c26.5 0 48-21.5 48-48V272c0-26.5-21.5-48-48-48zm-104 0H152v-72c0-39.7 32.3-72 72-72s72 32.3 72 72v72z""] };\nvar faLockOpen = { prefix: \'fas\', iconName: \'lock-open\', icon: [576, 512, [], ""f3c1"", ""M423.5 0C339.5.3 272 69.5 272 153.5V224H48c-26.5 0-48 21.5-48 48v192c0 26.5 21.5 48 48 48h352c26.5 0 48-21.5 48-48V272c0-26.5-21.5-48-48-48h-48v-71.1c0-39.6 31.7-72.5 71.3-72.9 40-.4 72.7 32.1 72.7 72v80c0 13.3 10.7 24 24 24h32c13.3 0 24-10.7 24-24v"
TU-Delft,2012,Team:TU-Delft#test3_-_-_TEXT.html,QCZ2Ce5vWBklTemnbTJBxqITS1Ris0FqlKLS TxvRLHq0d40DycSHSSQEKvd/4oknetIJgizMSS/XDrZTvqv7DM9By8T7h1VkIaxr9f0KBvqmDjRA PmUizuAxxxwjhx12mCdTmCxC6sfVZjQuHKJlVKtDykgdstCAVdGpp57qnyVkXSHadHVtTkMJABYb sJyPmzjWMml/FUwywX/KB2FFHZINEktEnnXS49BG0UcGSUQW2QpBIiK0cfSJs88+O7EkorZ9YqeS eZRER0lMrqIkIkKcSbwamjVrlkiPAeoSi07eQdrf9ddf7xd0kvQuBrP+atxO3P/LkXyhT6XvoB/V caAQ5eC9oxxJT8JEHVFXSU3CRLn0WSY5UZT2F0kNyaBjA+VDgnqckYgJIxEr4gZ+ozxRlrMu18zY p1OO1wtmf77JSEQjEZW0U2seFBoIRdwrCtH501FiDZN0EpGyYX0IgYg1VhLjXinJodn/CNpOptik Kf2UkTo86KCDfIzJQw891BPZWEYlyRqDSUgwARHvCJNTFOCkZ6msTdvW+JkIfQTuy1hiqqsr/9kn 7Bh/GmNy6tSplQk+uAZWL8S2guTSsvI7VnOF6jtXrFghs2fP9v0mdfLXv/7VZ6wmGzMJEtiPCSJk EmQdmQzjnKDwLCkHi0I6YYUA7tatm49vRsw4JQx5lnESnPm2OR0LCvHMaYO8+7hzEmdWQxgQzoAy Qh5SJtouv/Os+V5uVkWMg8Q0Jh4i9097JyP
UNAM-Genomics_Mexico,2011,Team:UNAM-Genomics Mexico#Safety_-_-_TEXT.html," infection of a bean root with our strain would kill or exclude other strains from the root and deprive the bean from the nitrogen fixation process. The free life viability would allow our strain to remain in the soil and infect more plants in its surroundings. The constant competition for roots would always exclude nitrogen fixating bacteria, stopping the fixation process at all in the release environment, affecting all life forms given that nitrogen is required by all organisms.
We believe this scenario to be completely out of the question for the following reasons:
The strain that we are working on (CFN42) presents a naturally very low fitness when competing with other Rhizobium etli strains.
The hydrogen production system consumes reductive metabolites, which carry energy. This consumption is expected to reduce the modified strain fitness compared to its unmodified counterpart.
None of the hydrogen pathway components are expected to interfere with the bacterium-plant communication, or the infection system. So our strain is not expected to increase its infection efficiency.
It is possible that hydrogen production interferes with nitrogen fixation, either reducing its efficiency or inhibiting it at all. Yet, Phaseolus vulgaris has a system that senses nitrogen fixation and has the ability to kill bacteria lacking the system. If nitrogen fixation is lost the strain infection efficiency is expected to be diminished by this system.
References
(1) Carcassi, M.N.; Fineschi, F. (2005). "" Deflagrations of H2–air and CH4–air lean mixtures in a vented multi-compartment environment "". Energy 30 (8): 1439–1451. doi:10.1016/j.energy.2004.02.012.
(2) Mr J Gummer &Dr S Hawksworth “ Spontaneous ignition of hydrogen ” Literature Review, Research ReportRR615. Health and Safety Executive, 2008.
(3) Penny R. Hirsch, “ Release of transgenic bacterial inoculants – rhizobia as a case study ”, Plant and Soil 266: 1–10, 2004.
Go back to our main page or see our project abstract .
Retrieved from "" http://2011.igem.org/Team:UNAM-Genomics_Mexico/Safety ""
Recent changes
What links here
Related changes
Special pages
My preferences
Printable version
Permanent link
Privacy policy
Disclaimers"
Hong_Kong_HKUST,2013,Team:Hong Kong HKUST#hp#article#kr_-_-_TEXT.html,"""
Page
Discussion
View source
History
teams
Log in
 
Team:Hong Kong HKUST/hp/article/kr
From 2013.igem.org
BACK TO TOP
Home
Team
Members
Advisors
Instructors
Attribution
Acknowledgement
Project
Abstract
Modules Description
Data Page
Parts
Characterization
Result
Future Work
Wetlab
Notebook
Protocols
Safety
Achievement
Medal Requirements
Prizes
Human Practice
Country Profile
Blog
Interviews
Article
Videos
Presentations
Country Profile
Hong Kong
China
South Korea
Overview
Synbio Map
iGEM Participation
Biotechnology Industry
Biotechnology Industry Funding
Regulations
Perception
Research, People & Organizations
References
Japan
Indonesia
Comparison
South Korea
Overview
In this country profile, information of synthetic biology in South Korea is compiled from different on-line sources such as government website, official government annual reports, news articles, and reviews. Searches were conducted in both English and Korean media. This country profile contains information about different aspects of synthetic biology in Korea, including regulation, research, people, perception, and organization. However as specific classification of work under the moniker of ‘synthetic biology’ is still uncommon in South Korea, wherever a specific aspect of information cannot be found described under synthetic biology, we have obtained the same information under the wider field of ‘biotechnology’. Information about biotechnology may be inferred to see the general growth trend of synthetic biology and its future development. In fact, biotechnology research institutes and companies are the ones that are most likely to adopt the synthetic biology approach (Hranueli, 2013).
In general, synthetic biology is a small but rapidly growing field in Korea. This trend is guided by a comprehensive plan called the Bio-Vision 2016. In 2006, the Korean government announced the Bio-Vision 2016 as a 10 year plan aimed at developing Korea’s biotechnology capabilities into making the nation a leader in the field. Needless to say, this has also allowed synthetic biology to gain a foothold in Korea (Cho, 2006)
Synbio Map
The SynBio Map identifies and locates companies, universities, research institutions, laboratories and other centers across the globe that are active in synthetic biology research (""Synthetic biology project:,"" ). It is a good tool to compare the trend of synthetic biology all round the world. This map was created at the Synthetic Biology Project at the Woodrow Wilson International Center for Scholars.
On the map,"
TUDelft,2018,Team:TUDelft#Wetlab#Notebook_-_-_TEXT.html,"ME in pSB1C3*
restriction-ligation
18
LB+Cam+Kan
E.coliDH5α
-
-
-
LB+Cam
E.coliDH5α
-
-
-
LB+Cam+Kan
*default RFP is NOT cut out of the backbone.
200 uL LB medium was added as recovery medium.
Close
Tuesday, 25/09/2018
Date
25/9/2018
Operator
Kavish Kohabir
Transformation Results
After carrying out the transformation protocol on 24/9/2018, the plates were left for overnight incubation. After ~14-18hr incubation, the following results were observed:
Strain
Plasmid/insert
Cloning method
Medium
Result
E.coliDH5α
MEpKantME in pSB1C3*
restriction-ligation
LB+Cam
E.coliDH5α
MEpKantME in pSB1C3*
restriction-ligation
LB+Cam+Kan
E.coliDH5α
-
-
LB+Cam
E.coliDH5α
-
-
LB+Cam+Kan
No growth
Date
25/9/2018
Operator
Kavish Kohabir
Colony PCR
Colony PCR was done to verify construction f the right plasmid, and propagation thereof. This plasmid contains ME-flanked kanamycin and RFP, placed in a pSB1C3 backbone, which can be checked with primers VF2 and VR.
Component
Volume (uL)
Template DNA
picked colony
Forward primer
VF2
Reverse primer
VR
Expected amplicon size (bp)
2454*
*We expect 1383bp in case of no placement of MEpKantME in the vector.
Tubes were prepared for colony PCR, containing picked colony as template DNA. The thermocycler programme was installed to have an extension time of 3 minutes and an annealing temperature of 60°C. After the programme was finished, samples were kept at 4°C.
Date
25/9/2018dd>
Operator
Kavish Kohabir
DNA Gel Electrophoresis
colony PCR samples were run on a 0.8% agarose gel in TAE buffer. 5μL was pipetted into each lane. The gel was imaged using a gel documentation system with UV-light.
Based on this gel, it was decided to continue with colony 4"
KIT-Kyoto,2010,Team:KIT-Kyoto#Protocol_-_-_TEXT.html,"ant.
↓ 20 mlの氷冷した TB Buffer を加えて、懸濁する
 
↓ Add 20 ml of refrigerated TB Buffer and resuspend.
↓ 1.4 mlの7% DMSO(1.4 mlのDMSOに18.6 mlのTB Bufferを加えたもの)を加える
 
↓ Add 1.4 ml of 7% DMSO(1.4 ml of DMSO to 18.6 ml of TB).
↓ 氷上で10分間冷やす
 
↓ Incubate on ice for 10 minutes.
↓ 300 μlずつ分注する
 
↓ Aliquot 300 μl of the cells.
↓ 液体窒素で冷凍する
 
↓ Freeze the cells in liquid nitrogen.
↓ -80 °Cで保存する
 
↓ Store at -80 °C.
>>back to Contents
シークエンス
 
Sequencing
PCR
 
PCR
↓ 下記の組成に従って試薬を混ぜる
 
↓ Mix the reagent according to the following components.
H2O
全量10 μlになるように調整する
Premix
2 μl
5 x sequence buffer
1 μl
Primer(1 μM)
1.6 μl
プラスミド DNA
DNA量が100-250 ngになるように調整する
 
全量 10 μl
 
H2O
Adjust to become total 10 μl
Premix
2 μl
5 x sequence buffer
1 μl
Primer(1 μM)
1.6 μl
Plasmid DNA
Adjust for the amount of DNA to become about 100-250 ng.
 
10 μl system
↓ PCRのプログラム設定 ↓ PCR program
Start
96 °C、1分
Cycle x 30
96 °C、10秒
50 °C、5秒
60 °C、4分
End
4 °Cで保つ
 
Start
96 °C for 1 minute.
Cycle x 30
96 °C for 10 seconds.
50 °C for 5 seconds.
60 °C for 4 minutes.
End
Keep at 4 °C forever.
エタノ"
