text,source_team,year,chunk
"relationships: [[""Concordia"", ""collaborated"", ""University of Toronto iGEM""]]",Concordia,2016,0
"relationships: [[""Purdue iGEM"",""collaborated with"",""Rose-Hulman Institute of Technology (RHIT)""],[""Purdue iGEM"",""booked time with"",""Purdue’s Bioscience Imaging Facility Dr Andy Schaber""],[""Rose-Hulman Institute of Technology (RHIT)"",""contributed to"",""Purdue iGEM's past project database""],[""Rose-Hulman Institute of Technology (RHIT)"",""provided feedback on"",""Purdue iGEM's protocols for biosafety""],[""Sri Venkateswara College of Engineering (SVCE)"",""collaborated with"",""Purdue iGEM""],[""Sri Venkateswara College of Engineering (SVCE)"",""distributed survey created by"",""Purdue iGEM""],[""Purdue iGEM"",""constructed, transformed, and characterized"",""one of Sri Venkateswara College of Engineering's temperature-sensitive promoters""]]",Purdue,2016,1
"relationships: [[""Athens"", ""met with"", ""UNSW 2018 iGEM Team""], [""Athens"", ""met with"", ""iGEM Paris - Bettencourt Team""], [""Athens"", ""completed survey for"", ""iGEM Bulgaria""], [""Athens"", ""completed survey for"", ""iGEM Dusseldorf""], [""Athens"", ""completed survey for"", ""iGEM Montpellier 2018""], [""Athens"", ""completed survey for"", ""UNAMBG iGEM 2018""]]",Athens,2018,2
"relationships: [[""Botchan_Lab_Tokyo"", ""advised"", ""iGEM Nagahama team""], [""Botchan_Lab_Tokyo"", ""used"", ""campfire website""], [""Botchan_Lab_Tokyo"", ""participated in"", ""May Festival""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""KAIT JAPAN team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Tokyo Tech team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Kyoto team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Kobe team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Nagahama team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Gifu team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""Manchester team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""Virginia team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""AQA Unesp team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""UChile_OpenBio-CeBiB team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""ITB_Indonesia team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""KUAS_Korea team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""IIT_Delhi team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""UAlberta team""]]",Botchan_Lab_Tokyo,2017,3
"relationships: [[""IONIS-PARIS"", ""collaborated"", ""Tokyo Tech team""], [""IONIS-PARIS"", ""collaborated"", ""PARIS Bettencourt team""]]",IONIS-PARIS,2017,4
"relationships: [[""Makerere University"", ""collaborated with"", ""other iGEM teams""],[""Makerere University"",""mentored"",""high-school team""]]",Makerere_University,2018,5
"relationships: [[""Colegio EmelinaU"", ""collaborated with"", ""Sebastian Hernandez""]]",Colegio_EmelinaU,2015,6
"relationships: [[""Hamburg"", ""received support from"", ""Jérémy""], [""Alina"", ""contacted"", ""Jérémy""], [""Hamburg"", ""had ongoing support from"", ""Jérémy""], [""Hamburg"", ""needed council from"", ""Jérémy""], [""Alina"", ""troubleshooted with help from"", ""Jérémy""], [""Hamburg"", ""received support from"", ""Evry""], [""Hamburg"", ""collaborated with"", ""iGEM Delft""], [""Hamburg"", ""exchanged ideas with"", ""iGEM Delft""], [""Hamburg"", ""planned cooperation with"", ""iGEM Delft""], [""Hamburg"", ""thanked"", ""iGEM Delft""], [""iGEM Delft"", ""collaborated with"", ""Aalto Helsinki""]]",Hamburg,2017,7
"relationships: [[""Westminster"",""collaborated with"",""Cambridge-JIC team""],[""Westminster"",""collected data for"",""Aix-Marseille Université""]]",Westminster,2015,8
"relationships: [[""Technion Israel"",""collaborated with"",""Peshawar""],[""Technion Israel"",""provided guidance to"",""Peshawar""],[""Technion Israel"",""aided in modeling process of"",""Peshawar""],[""Technion Israel"",""helped debugging protocol of"",""Peshawar""],[""Technion Israel"",""shared protocols with"",""Peshawar""],[""Technion Israel"",""shared layout of educational program with"",""Peshawar""],[""Technion Israel"",""advised regarding appeal to government with"",""Peshawar""]]",Technion_Israel,2016,9
