text,source_team,year,chunk
[],Lanzhou,2017,0
"[[""Cologne-Duesseldorf"", ""collaborated"", ""Aachen""]]",Cologne-Duesseldorf,2017,1
[],Nanjing-China,2015,2
"[[""Queens_Canada"", ""collaborated"", ""University of Calgary""], [""Queens_Canada"", ""shared ideas and troubleshoot problems"", ""University of Calgary""], [""Queens_Canada"", ""shared protocols and tips"", ""Makerere University""], [""Queens_Canada"", ""answered questions"", ""Makerere University""], [""Makerere University"", ""answered questions"", ""Queens_Canada""]]",Queens_Canada,2018,3
"[[""TU-Eindhoven"",""participated in exchange"",""European iGEM teams""],[""TU-Eindhoven"",""collaborated"",""Franconia""],[""TU-Eindhoven"",""answered survey"",""Waterloo""],[""TU-Eindhoven"",""answered survey"",""UNebraska-Lincoln""]]",TU-Eindhoven,2017,4
[],SSTi-SZGD,2017,5
[],Tokyo_Tech,2016,6
"[[""AUC_TURKEY"", ""collaborated"", ""ATOMS_Turkiye""], [""AUC_TURKEY"", ""co-organized meetup"", ""ATOMS Turkiye""], [""AUC_TURKEY"", ""co-organized meetup"", ""METU Ankara""], [""AUC_TURKEY"", ""co-organized meetup"", ""METU HS""]]",AUC_TURKEY,2015,7
"[[""TEC_GenetiX_CCM"", ""visited"", ""INMEGEN""], [""TEC_GenetiX_CCM"", ""collaborated"", ""TecCEM_HS""], [""TEC_GenetiX_CCM"", ""co-organized meetup"", ""iGem Latin-America Meetup""], [""TEC_GenetiX_CCM"", ""cooperated in search for sponsorships"", ""iGem teams from Mexico and Tecnológico de Monterrey system""], [""TEC_GenetiX_CCM"", ""discussing delivery system"", ""iGem teams from Tecnológico de Monterrey system""], [""TEC_GenetiX_CCM"", ""answered surveys"", ""variety of iGem teams""]]",TEC_GenetiX_CCM,2016,8
"[[""TAS_Taipei"", ""used and verified product of"", ""Lambert_GA""], [""TAS_Taipei"", ""attended conference at"", ""National Chung Hsing University""], [""TAS_Taipei"", ""interacted with"", ""TecCem""], [""TAS_Taipei"", ""interacted with"", ""RDFZ-China""], [""TAS_Taipei"", ""participated in activity of"", ""Dusseldorf""], [""TAS_Taipei"", ""offered advice to"", ""Sorbonne U Paris""]]",TAS_Taipei,2018,9
[],NU_Kazakhstan,2015,10
"[[""CCU_Taiwan"", ""received help from"", ""NYMU-Taipei team""], [""CCU_Taiwan"", ""attended conference with"", ""Asia Pacific Conference""], [""CCU_Taiwan"", ""visited"", ""NCKU Tainan iGEM Team""]]",CCU_Taiwan,2018,11
"[[""Utrecht"", ""discussed results of"", ""Eindhoven""], [""Utrecht"", ""invited"", ""NRC""], [""Utrecht"", ""invited"", ""Eindhoven""], [""Utrecht"", ""invited"", ""Leiden""], [""Utrecht"", ""invited"", ""Groningen""], [""Utrecht"", ""collaborated"", ""NRC""], [""Utrecht"", ""collaborated"", ""Eindhoven""], [""Utrecht"", ""collaborated"", ""Leiden""], [""Utrecht"", ""collaborated"", ""Groningen""]]",Utrecht,2018,12
[],Leiden,2016,13
"[[""NAU-CHINA"", ""collaborated"", ""AHUT_China""], [""AHUT_China"", ""helped"", ""NAU-CHINA""], [""NTHU_Taiwan"", ""advised"", ""NAU-CHINA""]]",NAU-CHINA,2016,14
"[[""NCKU_Tainan"", ""collaborated"", ""UESTC-China""], [""NCKU_Tainan"", ""video meeting and collaboration"", ""Tec-Monterrey""]]",NCKU_Tainan,2018,15
"[[""NJU-China"", ""received materials from"", ""NUDT_CHINA""], [""NJU-China"", ""thanked"", ""NUDT_CHINA""], [""NJU-China"", ""collaborated"", ""SCUT-China""], [""NJU-China"", ""assisted"", ""JSNU-China""]]",NJU-China,2016,16
