year,time_elapsed,failed_chunks
2009,1.0981876850128174,[]
2011,1.4690914154052734,[]
2012,1.766031265258789,[]
2014,1.2189686298370361,[]
2015,2.8017828464508057,[]
2016,4.520854473114014,[]
2017,6.546458005905151,[]
2018,4.761678218841553,[]
2009,0.840583086013794,[]
2011,1.450986623764038,[]
2012,1.1486620903015137,[]
2014,1.4824717044830322,[]
2015,2.243114471435547,[]
2016,3.6022775173187256,[]
2017,6.958080768585205,[]
2018,5.582175016403198,[]
2009,1.7246594429016113,[]
2011,1.4555833339691162,[]
2012,1.4452135562896729,[]
2014,1.478320837020874,[]
2015,3.289837121963501,[]
2016,3.627749443054199,[]
2017,6.053927421569824,[]
2018,5.117704153060913,[]
