context,category
collaborated with,work
participated in,meetup
collaborated with,work
received help from,work
received advice from,advice
collaborated with,work
received help from,advice
collaborated,work
helped,advice
participated in study,work
participated in surveys,work
collaborated with,work
collaborated,work
helped,work
can work with,work
can help improve,advice
can help characterize,advice
can help debug,advice
can help model or simulate,advice
can help test,advice
can help build and test,advice
can mentor,advice
worked on collaboration platform with,work
wrote report with,work
met and got to know,meetup
skyped with,meetup
contacted,other
emailed and had Skype session with,work
interested in collaborating/helping to mentor,work
exchanged ideas with,work
attended conference organized by,meetup
cooperated with,work
acknowledged,other
received support from,advice
detected,other
tested software using,work
received help from,advice
exchanged advice with,advice
characterized parts for,work
helped with wiki coding for,work
participated in Synthetic Biology Day with,meetup
provided replicates to,material transfer
confirmed fluorescence of constructs for,work
received images from,material transfer
reported data to,work
received data from,material transfer
participated in,work
attended,meetup
congratulated,other
met,meetup
thanked,advice
hopes for,other
looks forward to,other
received suggestions from,advice
received questions from,advice
participated in survey,other
collaborated with,work
provided access to,material transfer
received feedback from,advice
distributed survey created by,other
characterized temperature-sensitive promoter from,material transfer
collaborated,work
provided guidance to,advice
aided in modeling process of,work
helped debugging protocol of,work
shared protocols with,material transfer
shared layout of educational program with,material transfer
advised regarding appeal to government with,advice
communicated with,work
interviewed,work
created,work
contacted,work
had discussions and interviews with,work
wrote PC program for,work
gave help in,work
discussed with,work
listened to presentation of,work
offered assistance to,advice
sent structures and sequences to,material transfer
participated in mini Jamboree hosted by,meetup
mentored,advice
engaged in competition,work
connected by,other
trained together,work
shared cloning materials with,material transfer
had great communication with,work
based projects on same technology platform with,work
assisted,work
provided samples to,material transfer
helped,work
received help from,work
offered,work
tested software from,material transfer
discussed survey responses with,work
gave feedback to,advice
communicating with,other
supported,advice
provided suggestions to,advice
provided materials to,material transfer
helped with project design for,work
provided information about iGEM to,advice
offered help to,advice
organized by,other
met,meetup
interviewed by,other
participated in survey by,other
visited,other
attended meetup with,meetup
attended conference with,meetup
can work with,work
can help improve function of,advice
can help characterize,advice
can help debug,advice
can help model or simulate,advice
can help test,advice
can help build and test,advice
can mentor,advice
teamed up with,work
collaborated on pest prediction web establishment,work
helped registered iGEM team from high school,advice
collaborated on social research,work
collaborated with registered iGEM team from high school,work
held interschool meetup,meetup
helped complete survey,work
participated in meetup,meetup
cooperated with,work
answered surveys for,other
exchanged ideas with,work
advised,advice
received advice from,advice
received target DNA from,material transfer
provided lab access to,other
did PCR amplification for,work
provided reagents to,material transfer
provided laboratory apparatus to,material transfer
guided,advice
sent pBS1c3 parts and pGEX-KG expression vectors to,material transfer
shared findings with,work
joined campaign with,work
received analysis and suggestions from,advice
discussed mutated DNA detection,work
asked for help from,advice
contributed theoretical modeling,work
worked on experiment design,work
synthesized and shipped genes,material transfer
worked on project Syndustry,work
contributed,work
approved,advice
provided equipment to,material transfer
performed PCR amplification for,work
can help improve,advice
supplied,material transfer
filled out surveys for,other
provided experimental help to,work
advised,advice
used,work
participated in,meetup
held exhibition booth with,work
collaborated with,work
collaborated,work
received support from,advice
contacted,other
communicated with,other
needed council from,advice
troubleshooted with,work
exchanged ideas with,work
planned cooperation with,work
organized,work
thanked,other
participated in postal card exchange,other
supervisor of,work
adopted advice from,advice
raising help and advice,advice
lab support,work
difficult technique support,work
hardware support,work
wiki support,work
presentation coaching,work
human practice support,work
other support,work
cooperation with,work
contacted by,work
discussed with,work
improved algorithm with,work
received help from,advice
gifted,material transfer
attended conference with,meetup
attended ACMA held by,meetup
assisted,work
presented projects from,work
judged,work
shared knockout strain with,material transfer
discussed usage and verification with,work
transformed,work
checked by colony PCR,work
checked with restriction enzymes,work
confirmed by DNA sequencing,work
drew plasmid map,work
amplified glucose transporter genes from,work
performed PCR for,work
did a positive control to check,work
visited,meetup
collected water samples,material transfer
designed and tested,work
designed,work
fixed equipment on,work
cooperated with,work
helped,advice
shared project with,material transfer
translated,other
attended,meetup
established partnership with,work
participated in iGEM competition,other
collaborated with other iGEM teams,work
tested and selected NtrC-regulated promoter glnAp2,work
compared and selected SsrA-like tag DAS,work
used sfGFP as reporter,work
used M9 medium for bacteria culture,material transfer
can work with,work
can help improve,advice
can help characterize,advice
can help debug,advice
can help model or simulate,advice
can help test,advice
can help build and test,work
can mentor,advice
enlightened by,advice
collaboration with,work
tested DNAzyme synthesized by,material transfer
worked with,work
asked for help,advice
answered questionnaire from,other
affiliated with,other
hosted webinars with,work
mentored by,advice
mentored,advice
conducted Biofair with,meetup
built system for controlled release for,work
provided strains to,material transfer
exchanged resources with,material transfer
received guidance from,advice
received suggestions from,advice
helped with precipitation issues of,work
tested pH parts with,work
translated game with,work
answered survey from,other
participated in discussion on,work
gathered data about,work
conducted Skype session with,work
provided information to,advice
met,meetup
exchanged experiences with,work
tested,work
focused on,work
transferred vectors to,material transfer
constructed circuit with,work
gathered responses,work
collected responses,work
conducted survey,work
know what synthetic biology is more than,advice
received research insight from,advice
attended event organized by,meetup
