text,source_team,year,chunk
"relationships: [[""Concordia"", ""collaborated with"", ""University of Toronto iGEM""]]",Concordia,2016.0,0
"relationships: [[""Purdue iGEM"", ""collaborated with"", ""Rose-Hulman Institute of Technology (RHIT)""],[""Purdue iGEM"", ""provided access to"", ""Purdue’s Bioscience Imaging Facility""],[""Purdue iGEM"", ""received feedback from"", ""Rose-Hulman Institute of Technology (RHIT)""],[""Purdue iGEM"", ""collaborated with"", ""University of Exeter’s team""],[""Sri Venkateswara College of Engineering (SVCE)"", ""distributed survey created by"", ""Purdue iGEM""],[""Purdue iGEM"", ""characterized temperature-sensitive promoter from"", ""Sri Venkateswara College of Engineering (SVCE)""]]",Purdue,2016.0,1
"relationships: [[""Athens"", ""met"", ""UNSW 2018 iGEM Team""], [""Athens"", ""met"", ""iGEM Paris - Bettencourt Team""], [""Athens"", ""completed survey for"", ""iGEM Bulgaria""], [""Athens"", ""completed survey for"", ""iGEM Dusseldorf""], [""Athens"", ""completed survey for"", ""iGEM Montpellier 2018""], [""Athens"", ""completed survey for"", ""UNAMBG iGEM 2018""]]",Athens,2018.0,2
"relationships: [[""Botchan_Lab_Tokyo"", ""advised"", ""iGEM Nagahama team""], [""Botchan_Lab_Tokyo"", ""used"", ""campfire website""], [""Botchan_Lab_Tokyo"", ""participated in"", ""May Festival""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""KAIT JAPAN team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Tokyo Tech team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Kyoto team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Kobe team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Nagahama team""], [""Botchan_Lab_Tokyo"", ""held exhibition booth with"", ""Gifu team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""Manchester team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""Virginia team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""AQA Unesp team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""UChile_OpenBio-CeBiB team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""ITB_Indonesia team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""KUAS_Korea team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""IIT_Delhi team""], [""Botchan_Lab_Tokyo"", ""collaborated with"", ""UAlberta team""]]",Botchan_Lab_Tokyo,2017.0,3
"relationships: [[""IONIS-PARIS"", ""collaborated"", ""Tokyo Tech team""], [""IONIS-PARIS"", ""collaborated"", ""PARIS Bettencourt team""]]",IONIS-PARIS,2017.0,4
"relationships: [[""Makerere University"", ""collaborated with"", ""other iGEM teams""],[""Makerere University"",""mentored"",""high-school team""]]",Makerere_University,2018.0,5
"relationships: [[""Colegio EmelinaU"", ""collaborated with"", ""Sebastian Hernandez""]]",Colegio_EmelinaU,2015.0,6
"relationships: [[""Hamburg"", ""received support from"", ""Jérémy""], [""Alina"", ""contacted"", ""Jérémy""], [""Hamburg"", ""communicated with"", ""Jérémy""], [""Hamburg"", ""needed council from"", ""Jérémy""], [""Alina"", ""troubleshooted with"", ""Jérémy""], [""Hamburg"", ""received support from"", ""Evry""], [""Hamburg"", ""collaborated with"", ""iGEM Delft""], [""Hamburg"", ""exchanged ideas with"", ""iGEM Delft""], [""Hamburg"", ""planned cooperation with"", ""iGEM Delft""], [""iGEM Delft"", ""collaborated with"", ""Hamburg""], [""iGEM Delft"", ""organized"", ""European Meetup""], [""Hamburg"", ""thanked"", ""iGEM Delft""], [""Hamburg"", ""collaborated with"", ""Aalto Helsinki""]]",Hamburg,2017.0,7
"relationships: [[""Westminster"", ""collaborated"", ""Cambridge-JIC team""],[""Westminster"",""helped"",""Aix-Marseille Université""]]",Westminster,2015.0,8
"relationships: [[""Technion Israel"", ""collaborated"", ""Peshawar""],[""Technion Israel"",""provided guidance to"",""Peshawar""],[""Technion Israel"",""aided in modeling process of"",""Peshawar""],[""Technion Israel"",""helped debugging protocol of"",""Peshawar""],[""Technion Israel"",""shared protocols with"",""Peshawar""],[""Technion Israel"",""shared layout of educational program with"",""Peshawar""],[""Technion Israel"",""advised regarding appeal to government with"",""Peshawar""]]",Technion_Israel,2016.0,9
