context,category
collaborated with,work
participated in,meetup
collaborated with,work
received help from,advice
received advice from,advice
collaborated with,work
received help from,advice
collaborated,work
collaborated with,work
helped,advice
participated in,meetup
collaborated with,work
collaborated,work
helped,advice
can work with,work
can help improve,advice
can help characterize,advice
can help debug,advice
can help model or simulate,advice
can help test,advice
can help build and test,advice
can mentor,advice
worked on,work
wrote report with,work
met at,meetup
practiced presentation with,work
organized get-to-know-each-other activity with,meetup
skyped with,work
contacted,other
emailed and had a Skype session with,work
interested in collaborating/helping to mentor,work
exchanged ideas with,work
attended conference organized by,meetup
cooperated with,work
acknowledged,other
received support from,advice
detected,other
tested software using,work
received help from,advice
exchanged advice with,advice
characterized parts for,work
helped with wiki coding for,work
participated in Synthetic Biology Day with,meetup
provided replicates to,material transfer
confirmed fluorescence of constructs for,work
received images from,material transfer
reported data to,work
received data from,material transfer
participated in,work
attended,meetup
congratulated,other
met,meetup
thanked,other
hoped for,other
looked forward to,other
received suggestions from,advice
received questions from,other
participated in survey,other
advised regarding appeal to government with,advice
communicated with,work
interviewed,work
created,work
contacted,work
had discussions and interviews with,work
wrote PC program for,work
gave help in,work
discussed with,work
listened to presentation of,work
offered assistance to,advice
sent structures and sequences to,material transfer
participated in mini Jamboree hosted by,meetup
mentored,advice
engaged in competition,work
connected by,other
trained together,work
shared cloning materials with,material transfer
had great communication with,work
based projects on same technology platform with,work
assisted,work
provided samples to,material transfer
helped,work
received help from,work
tested app for,work
offered,advice
tested software from,work
discussed survey responses with,work
gave feedback to,advice
communicating with,other
supported,advice
provided suggestions to,advice
provided materials to,material transfer
helped with project design for,work
provided information about iGEM to,advice
offered help to,advice
organized by,other
met,meetup
interviewed by,other
participated in survey by,other
visited,other
attended meetup with,meetup
attended conference with,meetup
can work with,work
can help improve function of,advice
can help characterize,work
can help debug,work
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
teamed up with,work
received libraries from,material transfer
used system designed by,work
integrated Muse Library,work
collaborated on pest prediction web establishment,work
helped registered iGEM team from high school,advice
collaborated on social research,work
collaborated with registered iGEM team from high school,work
held interschool meetup,meetup
helped complete survey,work
participated in meetup,meetup
cooperated with,work
answered surveys for,work
exchanged ideas with,work
gave advice to,advice
received advice from,advice
received target DNA from,material transfer
provided lab access to,work
did PCR amplification for,work
provided reagents to,material transfer
provided laboratory apparatus to,material transfer
guided,advice
sent pBS1c3 parts and pGEX-KG expression vectors to,material transfer
shared findings with,work
contributed to,work
joined campaign with,work
received analysis and suggestions from,advice
discussed mutated DNA detection,work
asked for help from,advice
contributed theoretical modeling,work
worked on experiment design,work
synthesized and shipped genes,material transfer
worked on project Syndustry,work
contributed,other
helped with lab access for,work
provided equipment and reagents for,material transfer
supplied,material transfer
filled out surveys for,other
provided experimental help to,work
advised,advice
used,material transfer
participated in,meetup
held exhibition booth with,work
collaborated with,work
collaborated,work
received support from,advice
contacted,other
communicated with,other
needed council from,advice
troubleshooted with help from,work
exchanged ideas with,work
planned cooperation with,work
participated in postal card exchange,other
supervisor of,work
organized,other
attended,other
adopted advice from,advice
raising help and advice,advice
lab support,work
difficult technique support,work
hardware support,work
wiki support,work
presentation coaching,work
human practice support,work
other support,work
cooperation with,work
contacted by,advice
discussed with,advice
improved algorithm with,work
fixed equipment on,work
cooperated with,work
helped,advice
shared project with,material transfer
translated,other
established partnership with,other
participated in iGEM competition,other
collaborated with other iGEM teams,work
tested and selected NtrC-regulated promoter glnAp2,work
compared and selected SsrA-like tag DAS,work
used sfGFP as reporter,work
used M9 medium for bacteria culture,work
can work with,work
can help improve,advice
can help characterize,work
can help debug,work
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
enlightened by,advice
thanked,other
collaboration with,work
tested DNAzyme synthesized by,material transfer
worked with,work
asked for help,advice
answered questionnaire from,other
affiliated with,other
hosted webinars with,work
mentored by,advice
mentored,advice
conducted Biofair with,meetup
built system for controlled release for,work
provided strains to,material transfer
exchanged resources with,material transfer
received guidance from,advice
received suggestions from,advice
helped with precipitation issues of,work
tested pH parts with,work
translated game,other
answered survey,other
participated in discussion on,work
gathered data about,work
conducted Skype session with,work
provided information to,advice
met,meetup
exchanged experiences with,meetup
tested,work
focused on,work
transferred vectors to,material transfer
constructed circuit with,work
gathered responses,material transfer
collected responses,material transfer
conducted survey,work
know what synthetic biology is more than,advice
received research insight from,advice
attended event organized by,meetup
organized event attended by,meetup
received funding advice from,advice
received lecture from,advice
volunteered at,other
sought advice from,advice
compared designs with,work
shared opinions and needs with,work
helped with biological problems of,work
received help with website making and modeling from,work
used CdS nanoparticles similar to,material transfer
helped validate the function of CdS quantum dots for,work
helped improve the characterization of CdS quantum dots for,work
modeled a complex metabolism pathway for,work
validated the feasibility of the project for,work
attended the 5th iGEM Asia-Pacific Conference with,meetup
hosted,other
produces immobilized bacteria,work
changed plan,other
employed,other
applied bacterial immobilizing technique,work
provided cloning expertise to,advice
filled out survey for,other
