text,year
"[[""collaborated with"", ""work""]]",2009.0
"Matching: [[""participated in"", ""meetup""], [""collaborated with"", ""work""], [""received help from"", ""work""], [""received advice from"", ""advice""]]",2011.0
"[[""collaborated with"", ""work""], [""received help from"", ""advice""]]",2012.0
"[[""collaborated"", ""work""], [""helped"", ""advice""], [""participated in study"", ""work""], [""participated in surveys"", ""work""]]",2014.0
"Matching: 
[[""collaborated with"", ""work""], 
[""collaborated"", ""work""], 
[""helped"", ""work""], 
[""can work with"", ""work""], 
[""can help improve"", ""advice""], 
[""can help characterize"", ""advice""], 
[""can help debug"", ""advice""], 
[""can help model or simulate"", ""advice""], 
[""can help test"", ""advice""], 
[""can help build and test"", ""advice""]]",2015.0
"[[""can mentor"", ""advice""], [""worked on collaboration platform with"", ""work""], [""wrote report with"", ""work""], [""met and got to know"", ""meetup""], [""skyped with"", ""meetup""], [""contacted"", ""other""], [""emailed and had Skype session with"", ""work""], [""interested in collaborating/helping to mentor"", ""work""], [""exchanged ideas with"", ""work""], [""attended conference organized by"", ""meetup""]]",2015.0
"Matching: 
[[""cooperated with"", ""work""], 
[""acknowledged"", ""other""], 
[""received support from"", ""advice""], 
[""detected"", ""other""], 
[""tested software using"", ""work""], 
[""received help from"", ""advice""], 
[""exchanged advice with"", ""advice""], 
[""characterized parts for"", ""work""], 
[""helped with wiki coding for"", ""work""], 
[""participated in Synthetic Biology Day with"", ""meetup""]]",2015.0
"Matching: 

[[""provided replicates to"", ""material transfer""], 
[""confirmed fluorescence of constructs for"", ""work""], 
[""received images from"", ""material transfer""], 
[""reported data to"", ""work""], 
[""received data from"", ""material transfer""], 
[""participated in"", ""work""], 
[""attended"", ""meetup""], 
[""congratulated"", ""other""], 
[""met"", ""meetup""], 
[""thanked"", ""advice""]]",2015.0
"[[""hopes for"", ""other""], [""looks forward to"", ""other""], [""received suggestions from"", ""advice""], [""received questions from"", ""advice""], [""participated in survey"", ""other""]]",2015.0
"Matching: 

[[""collaborated with"", ""work""], 
[""provided access to"", ""material transfer""], 
[""received feedback from"", ""advice""], 
[""distributed survey created by"", ""other""], 
[""characterized temperature-sensitive promoter from"", ""material transfer""], 
[""collaborated"", ""work""], 
[""provided guidance to"", ""advice""], 
[""aided in modeling process of"", ""work""], 
[""helped debugging protocol of"", ""work""], 
[""shared protocols with"", ""material transfer""]]",2016.0
"Matching: [[""shared layout of educational program with"", ""material transfer""], [""advised regarding appeal to government with"", ""advice""], [""communicated with"", ""work""], [""interviewed"", ""work""], [""created"", ""work""], [""contacted"", ""work""], [""had discussions and interviews with"", ""work""], [""wrote PC program for"", ""work""], [""gave help in"", ""work""], [""discussed with"", ""work""]]",2016.0
"Matching: [[""listened to presentation of"", ""work""], [""offered assistance to"", ""advice""], [""sent structures and sequences to"", ""material transfer""], [""participated in mini Jamboree hosted by"", ""meetup""], [""mentored"", ""advice""], [""engaged in competition"", ""work""], [""connected by"", ""other""], [""trained together"", ""work""], [""shared cloning materials with"", ""material transfer""], [""had great communication with"", ""work""]]",2016.0
"Matching: 
1. ""based projects on same technology platform with"" - [[""based projects on same technology platform with"", ""work""]]
2. ""assisted"" - [[""assisted"", ""work""]]
3. ""provided samples to"" - [[""provided samples to"", ""material transfer""]]
4. ""helped"" - [[""helped"", ""work""]]
5. ""received help from"" - [[""received help from"", ""work""]]
6. ""offered"" - [[""offered"", ""work""]]
7. ""tested software from"" - [[""tested software from"", ""material transfer""]]
8. ""discussed survey responses with"" - [[""discussed survey responses with"", ""work""]]
9. ""gave feedback to"" - [[""gave feedback to"", ""advice""]]
10. ""communicating with"" - [[""communicating with"", ""other""]]",2016.0
"Matching: 
- ""supported"": [[""supported"", ""advice""]]
- ""provided suggestions to"": [[""provided suggestions to"", ""advice""]]
- ""provided materials to"": [[""provided materials to"", ""material transfer""]]
- ""helped with project design for"": [[""helped with project design for"", ""work""]]
- ""provided information about iGEM to"": [[""provided information about iGEM to"", ""advice""]]
- ""offered help to"": [[""offered help to"", ""advice""]]
- ""organized by"": [[""organized by"", ""other""]]
- ""met"": [[""met"", ""meetup""]]
- ""interviewed by"": [[""interviewed by"", ""other""]]
- ""participated in survey by"": [[""participated in survey by"", ""other""]]",2016.0
"Matching: 
1. ""visited"" - [[""visited"", ""other""]]
2. ""attended meetup with"" - [[""attended meetup with"", ""meetup""]]
3. ""attended conference with"" - [[""attended conference with"", ""meetup""]]
4. ""can work with"" - [[""can work with"", ""work""]]
5. ""can help improve function of"" - [[""can help improve function of"", ""advice""]]
6. ""can help characterize"" - [[""can help characterize"", ""advice""]]
7. ""can help debug"" - [[""can help debug"", ""advice""]]
8. ""can help model or simulate"" - [[""can help model or simulate"", ""advice""]]
9. ""can help test"" - [[""can help test"", ""advice""]]
10. ""can help build and test"" - [[""can help build and test"", ""advice""]]",2016.0
"[[""can mentor"",""advice""], [""teamed up with"",""work""], [""collaborated on pest prediction web establishment"",""work""], [""helped registered iGEM team from high school"",""advice""], [""collaborated on social research"",""work""], [""collaborated with registered iGEM team from high school"",""work""], [""held interschool meetup"",""meetup""], [""helped complete survey"",""work""], [""participated in meetup"",""meetup""], [""cooperated with"",""work""]]",2016.0
"Matching: [[""answered surveys for"", ""other""], [""exchanged ideas with"", ""work""], [""advised"", ""advice""], [""received advice from"", ""advice""], [""received target DNA from"", ""material transfer""], [""provided lab access to"", ""other""], [""did PCR amplification for"", ""work""], [""provided reagents to"", ""material transfer""], [""provided laboratory apparatus to"", ""material transfer""], [""guided"", ""advice""]]",2016.0
"[[""sent pBS1c3 parts and pGEX-KG expression vectors to"", ""material transfer""], 
[""shared findings with"", ""work""], 
[""joined campaign with"", ""work""], 
[""received analysis and suggestions from"", ""advice""], 
[""discussed mutated DNA detection"", ""work""], 
[""asked for help from"", ""advice""], 
[""contributed theoretical modeling"", ""work""], 
[""worked on experiment design"", ""work""], 
[""synthesized and shipped genes"", ""material transfer""], 
[""worked on project Syndustry"", ""work""]]",2016.0
"Matching: 
- [[""contributed"", ""work""]]
- [[""approved"", ""advice""]]
- [[""provided equipment to"", ""material transfer""]]
- [[""performed PCR amplification for"", ""work""]]
- [[""can help improve"", ""advice""]]
- [[""supplied"", ""material transfer""]]
- [[""filled out surveys for"", ""other""]]
- [[""provided experimental help to"", ""work""]]",2016.0
"Matching:
1. ""advised"": [[""advised"", ""advice""]]
2. ""used"": [[""used"", ""work""]]
3. ""participated in"": [[""participated in"", ""meetup""]]
4. ""held exhibition booth with"": [[""held exhibition booth with"", ""work""]]
5. ""collaborated with"": [[""collaborated with"", ""work""]]
6. ""collaborated"": [[""collaborated"", ""work""]]
7. ""received support from"": [[""received support from"", ""advice""]]
8. ""contacted"": [[""contacted"", ""other""]]
9. ""communicated with"": [[""communicated with"", ""other""]]
10. ""needed council from"": [[""needed council from"", ""advice""]]",2017.0
"[[""troubleshooted with"", ""work""], [""exchanged ideas with"", ""work""], [""planned cooperation with"", ""work""], [""organized"", ""work""], [""thanked"", ""other""], [""participated in postal card exchange"", ""other""], [""supervisor of"", ""work""], [""adopted advice from"", ""advice""], [""raising help and advice"", ""advice""], [""lab support"", ""work""]]",2017.0
