text,source_team,year,chunk
"[[""Concordia"", ""received plasmids from"", ""University of Toronto iGEM""], [""Concordia"", ""collaborated"", ""University of Toronto iGEM""]]",Concordia,2016,0
"1. [[""Purdue"", ""collaborated"", ""Rose-Hulman Institute of Technology""]]
2. [[""Rose-Hulman Institute of Technology"", ""contributed to"", ""Purdue""]]
3. [[""Purdue"", ""collaborated"", ""Sri Venkateswara College of Engineering""]]
4. [[""Sri Venkateswara College of Engineering"", ""distributed survey for"", ""Purdue""]]",Purdue,2016,1
"[[""Athens"", ""met and exchanged ideas"", ""UNSW 2018 iGEM Team""], [""Athens"", ""met and exchanged ideas"", ""iGEM Paris - Bettencourt Team""], [""Athens"", ""completed survey"", ""iGEM Bulgaria""], [""Athens"", ""completed survey"", ""iGEM Dusseldorf""], [""Athens"", ""completed survey"", ""iGEM Montpellier 2018""], [""Athens"", ""completed survey"", ""UNAMBG iGEM 2018""]]",Athens,2018,2
"1. [[""Botchan_Lab_Tokyo"", ""advised"", ""iGEM Nagahama""]]
2. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""KAIT JAPAN""]]
3. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Tokyo Tech""]]
4. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Kyoto team""]]
5. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Kobe team""]]
6. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Nagahama team""]]
7. [[""Botchan_Lab_Tokyo"", ""participated in festival with"", ""Gifu team""]]
8. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""Manchester team""]]
9. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""Virginia team""]]
10. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""AQA Unesp team""]]
11. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""UChile_OpenBio-CeBiB team""]]
12. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""ITB_Indonesia team""]]
13. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""KUAS_Korea team""]]
14. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""IIT_Delhi team""]]
15. [[""Botchan_Lab_Tokyo"", ""collaborated"", ""UAlberta team""]]",Botchan_Lab_Tokyo,2017,3
"[[""IONIS-PARIS"", ""collaborated"", ""Tokyo Tech team""], [""IONIS-PARIS"", ""received characterization material from"", ""Tokyo Tech team""], [""Tokyo Tech team"", ""used model handbook from"", ""IONIS-PARIS""], [""IONIS-PARIS"", ""collaborated"", ""PARIS Bettencourt team""], [""PARIS Bettencourt team"", ""provided devices for"", ""IONIS-PARIS""], [""IONIS-PARIS"", ""advised on"", ""PARIS Bettencourt team""]]",IONIS-PARIS,2017,4
[],Makerere_University,2018,5
[],Colegio_EmelinaU,2015,6
"1. [""Hamburg"", ""ongoing support from"", ""Jérémy""]
2. [""Hamburg"", ""support from"", ""Evry""]
3. [""Hamburg"", ""planned collaboration"", ""iGEM Delft""]
4. [""Hamburg"", ""thanked for organizing"", ""iGEM Delft""]",Hamburg,2017,7
"[[""Westminster"", ""participated in workshop organized by"", ""Cambridge-JIC""],[""Westminster"", ""helped with surveys for"", ""Aix-Marseille Université""]]",Westminster,2015,8
"Based on the provided text, the relationships between teams can be summarized as follows:

1. [[""Technion Israel"", ""tutored"", ""Peshawar""]]
2. [[""Technion Israel"", ""aided in modeling"", ""Peshawar""]]
3. [[""Technion Israel"", ""helped with cloning"", ""Peshawar""]]
4. [[""Technion Israel"", ""shared educational program layout"", ""Peshawar""]]
5. [[""Technion Israel"", ""advised on government appeal"", ""Peshawar""]]",Technion_Israel,2016,9
"[[""BGIC China"", ""assisted"", ""Shenzhen_SFLS""], [""Shenzhen_SFLS"", ""assisted"", ""BGIC China""], [""BGIC China"", ""shared laboratory with"", ""Shenzhen_SFLS""], [""BGIC China"", ""received training with"", ""Shenzhen_SFLS""], [""BGIC China"", ""shared materials with"", ""Shenzhen_SFLS""]]",BGIC_China,2016,10
"[[""Aix-Marseille"", ""met during meetup"", ""Evry Paris-Saclay""],
[""Aix-Marseille"", ""collaborated"", ""Evry Paris-Saclay""],
[""Aix-Marseille"", ""offered help in biochemistry"", ""Evry Paris-Saclay""],
[""Evry Paris-Saclay"", ""offered help in legislation and market study"", ""Aix-Marseille""],
[""Aix-Marseille"", ""responded to survey"", ""UNebraska-Lincoln""],
[""Aix-Marseille"", ""participated in postal card exchange"", ""Cologne-Duesseldorf""]]",Aix-Marseille,2017,11
"[[""Duesseldorf"", ""collaborated"", ""Tec-Monterrey""], [""Duesseldorf"", ""collaborated"", ""USP Brazil""]]",Duesseldorf,2018,12
[],Concordia,2016,13
"[[""Hong Kong HKUST"", ""collaborated"", ""Rice University""], [""Hong Kong HKUST"", ""collaborated"", ""Indian Institute of Technology Madras""], [""Hong Kong HKUST"", ""collaborated"", ""National University of Singapore""]]",Hong_Kong_HKUST,2016,14
[],KUAS_Korea,2018,15
"[[""EPFL"", ""joined platform with"", ""30 iGEM teams""]]",EPFL,2016,16
"Based on the provided text, the relationships between teams and other entities can be summarized as follows:

1. [[""BIT"", ""helped with modeling"", ""SCUT-CHINA_B""], [""SCUT-CHINA_B"", ""received software assistance"", ""BIT""]]
2. [[""BIT"", ""wrote a PC program for"", ""SCUT-CHINA_B""]]
3. [[""BIT"", ""communicated with"", ""NYMU-Taipei""], [""NYMU-Taipei"", ""advised"", ""BIT""]]
4. [[""BIT"", ""communicated and advised"", ""BIT-China""], [""BIT-China"", ""helped with experiment and web design"", ""BIT""]]
5. [[""BIT"", ""discussed with"", ""NCKU graduate student""], [""BIT-China"", ""discussed with"", ""NCKU graduate student""]]

These relationships highlight collaboration, assistance, and communication between the teams and individuals mentioned in the text.",BIT,2016,17
"[[""CUNY Kingsborough"", ""data collection collaboration"", ""HD Resolution""], [""CUNY Kingsborough"", ""data collection collaboration"", ""Tec de Monterrey_Gdl""], [""CUNY Kingsborough"", ""collaborated"", ""Columbia University""], [""CUNY Kingsborough"", ""hosted event with"", ""HD Resolution""]]",CUNY_Kingsborough,2018,18
"[[""Paris_Bettencourt"", ""sponsored by"", ""Arbor Biosciences""], [""Paris_Bettencourt"", ""recruited"", ""GIFU iGEM""], [""Paris_Bettencourt"", ""compared cell-free expression with"", ""GIFU iGEM""]]",Paris_Bettencourt,2018,19
"Based on the provided text, here are the relationships identified:

1. [[""TU_Dresden"", ""supervised by"", ""Prof. Dr. Thorsten Mascher""]]
2. [[""TU_Dresden"", ""presentation by"", ""Marcel Thiele""]]
3. [[""TU_Dresden"", ""presentation by"", ""Prof. Dr. Hans-Georg Braun""]]
4. [[""TU_Dresden"", ""organized meetup"", ""Aachen""]]
5. [[""TU_Dresden"", ""organized meetup"", ""Berlin_diagnostX""]]
6. [[""TU_Dresden"", ""organized meetup"", ""Bielefeld-CeBiTec""]]
7. [[""TU_Dresden"", ""organized meetup"", ""Cologne-Duesseldorf""]]
8. [[""TU_Dresden"", ""organized meetup"", ""TU Darmstadt""]]
9. [[""TU_Dresden"", ""organized meetup"", ""Franconia""]]
10. [[""TU_Dresden"", ""organized meetup"", ""Freiburg""]]
11. [[""TU_Dresden"", ""organized meetup"", ""Munich""]]
12. [[""TU_Dresden"", ""organized meetup"", ""Potsdam""]]

These relationships indicate that team TU_Dresden had a supervisory and collaborative relationship with individuals and teams, including organizing a meetup for various iGEM teams across Germany and hosting presentations by experts in their respective fields.",TU_Dresden,2017,20
"Based on the provided text, the relationships between teams can be summarized as follows:

1. [[""Tsinghua"", ""collaborated"", ""SJTU""]]
2. [[""SJTU"", ""provided"", ""Tsinghua""]]
3. [[""Tsinghua"", ""hosted"", ""SJTU""]]
4. [[""Tsinghua"", ""collaborated"", ""SYSU""]]
5. [[""SYSU"", ""shared"", ""Tsinghua""]]
6. [[""Tsinghua"", ""held meetup with"", ""SYSU""]]
7. [[""Tsinghua"", ""provided feedback to"", ""SYSU""]]
8. [[""Tsinghua"", ""collaborated"", ""Tsinghua-A""]]
9. [[""Tsinghua"", ""provided"", ""Tsinghua-A""]]
10. [[""Tsinghua-A"", ""provided feedback to"", ""Tsinghua""]]",Tsinghua,2015,21
"[[""Leiden"", ""collaborated"", ""Copenhagen""]]",Leiden,2016,22
[],UCAS,2017,23
