team,matching,year
University of Chicago,UChicago,2009.0
University of Illinois,Illinois,2009.0
iGEM Japan,other,2011.0
Cell Tech Lab at Osaka University,Osaka,2011.0
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2011.0
laboratory of Hayano at the University of Tokyo,UT-Tokyo,2011.0
ASACUSA at CERN,other,2011.0
Kyoto Institute of Technology KIT-Kyoto,Kyoto,2012.0
Radiation Biology and Medical Genetics Lab at Osaka University,Osaka,2012.0
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2012.0
laboratory of Hayano at the University of Tokyo,UT-Tokyo,2012.0
ASACUSA at CERN,other,2012.0
Imperial College London,Imperial,2014.0
Brasil-SP Team,Brasil-SP,2014.0
IvyTech,IvyTech_SouthBend_IN,2014.0
University of Pittsburgh iGEM team,Pitt,2014.0
iGEM teams,other,2014.0
other teams,other,2014.0
Colegio EmelinaU,other,2015.0
UNC-Chapel Hill,UNC-Chapel Hill,2015.0
IIT Kharagpur,IIT_Kharagpur,2015.0
NJAU China,NJAU_China,2015.0
ETH Zurich,ETH_Zurich,2015.0
BNU-China,BNU-China,2015.0
Sebastian Hernandez,other,2015.0
Cambridge-JIC team,Cambridge-JIC,2015.0
Aix-Marseille Université,Aix-Marseille,2015.0
SJTU,SJTU,2015.0
SYSU,SYSU,2015.0
other iGEM teams,other,2015.0
software teams,other,2015.0
hardware teams,other,2015.0
high school teams,other,2015.0
non-iGEM research groups,other,2015.0
another team's BioBrick Part or Device,other,2015.0
another team's part,other,2015.0
a construct,other,2015.0
another team's system,other,2015.0
another team's software,other,2015.0
another team's hardware project,other,2015.0
a high-school team,other,2015.0
high-school team,other,2015.0
Linköping,Linkoping_Sweden,2015.0
UI Oslo,UiOslo_Norway,2015.0
Copenhagen,UNIK_Copenhagen,2015.0
SDU Denmark,SDU-Denmark,2015.0
Pasteur,Pasteur_Paris,2015.0
HS Slovenia,HS Slovenia,2015.0
UChicago iGEM Team,UChicago,2015.0
NEFU China,NEFU_China,2015.0
Korea U Seoul,Korea_U_Seoul,2015.0
Paris-Saclay,Paris_Saclay,2015.0
Nanjing University,Nanjing-China,2015.0
Shanghai Jiao Tong University SJTU_China,SJTU-BioX-Shanghai,2015.0
Tongji University China_Tongji,China_Tongji,2015.0
National Chiao Tung University team NCTU_formosa,NCTU_Formosa,2015.0
NJU_China,NJU-China,2015.0
WHU_China,WHU-China,2015.0
IPPE,other,2015.0
VSETCAB,other,2015.0
Pennsylvania State University iGEM 2015,Penn,2015.0
Center for Biological Systems Engineering,other,2015.0
Department of Chemistry,other,2015.0
Focht Family,other,2015.0
Heeney/Toomey Family,other,2015.0
Bourg Family,other,2015.0
NSF-MCB Award #1331194,other,2015.0
Washington University in St. Louis,WashU_StLouis,2015.0
SZU,SZU-China,2015.0
Amoy/XMU-China,Amoy,2015.0
Spring,other,2015.0
AUC TURKEY,AUC_TURKEY,2015.0
NU Kazakhstan,NU_Kazakhstan,2015.0
UGA iGEM team,UGA-Georgia,2015.0
ATOMS_Turkiye,ATOMS-Turkiye,2015.0
ATOMS Turkiye,ATOMS-Turkiye,2015.0
METU Ankara,METU_Turkey,2015.0
METU HS,METU_HS_Ankara,2015.0
TU DELFT,TU_Delft,2015.0
HEIDELBERG,Heidelberg,2015.0
OUC China,OUC-China,2015.0
KU_LEUVEN,KU_Leuven,2015.0
METU TURKEY,METU_Turkey,2015.0
GRONINGEN,Groningen,2015.0
BGU ISRAEL,BGU_Israel,2015.0
Tec_Chihuahua,Tec-Chihuahua,2015.0
NAIT EDMONTON,NAIT_Edmonton,2015.0
AMOY,Amoy,2015.0
Cambridge-JIC iGEM 2015,Cambridge-JIC,2015.0
iGEM competition,other,2015.0
Nordic iGEM Conference,other,2015.0
Stockholm iGEM team,Stockholm,2015.0
other teams,other,2015.0
Bar Crawl,other,2015.0
Uppsala and Stockholm,other,2015.0
annual NiC event,other,2015.0
seeing other teams in Boston,other,2015.0
UGA-Georgia iGEM Team,UGA-Georgia,2015.0
NCTU iGEM Conference,other,2015.0
Team HSNU-TAIPEI,HSNU-TAIPEI,2015.0
TCU,TCU_Taiwan,2015.0
Canmore,OLS_Canmore_AB_CA,2015.0
iGEM Nankai,Nankai,2015.0
Santa Clara University,Santa_Clara,2015.0
Brown University,Brown,2015.0
Purdue iGEM,Purdue,2016.0
Sri Venkateswara College of Engineering (SVCE),other,2016.0
Technion Israel,Technion_Israel,2016.0
BGIC China,BGIC_China,2016.0
SFLS,Shenzhen_SFLS,2016.0
Hong Kong HKUST,Hong_Kong_HKUST,2016.0
SJTU_software,SJTU-Software,2016.0
Nanjing University,Nanjing-China,2016.0
Nankai University,NKU_China,2016.0
LMU-TUM Munich,LMU-TUM_Munich,2016.0
University of Toronto iGEM,Toronto,2016.0
Rose-Hulman Institute of Technology (RHIT),RHIT,2016.0
Purdue’s Bioscience Imaging Facility,other,2016.0
University of Exeter’s team,Exeter,2016.0
NAWI Graz iGEM Team,NAWI-Graz,2016.0
Rice University,Rice,2016.0
Indian Institute of Technology Madras,IIT-Madras,2016.0
National University of Singapore,NUS_Singapore,2016.0
igem.today,other,2016.0
30 teams on igem.today,other,2016.0
30 teams through social media,other,2016.0
30 teams,other,2016.0
SCUT-CHINA_B,SCUT-China_B,2016.0
BIT experiment and Web design,BIT,2016.0
NCKU graduate student,NCKU_Tainan,2016.0
Copenhagen,UNIK_Copenhagen,2016.0
Technion - Israel,Technion_Israel,2016.0
KoreaSonyeod,KoreaSonyeodul,2016.0
TU Darmstadt,TU-Darmstadt,2016.0
AHUT_China and NAU-China,other,2016.0
CCiC,other,2016.0
SYSU_China,SYSU-CHINA,2016.0
high school team,other,2016.0
iGEM,other,2016.0
other iGEM teams,other,2016.0
AHUT China,AHUT_China,2016.0
William & Mary,William_and_Mary,2016.0
Helsinki,Aalto-Helsinki,2016.0
