year,time_elapsed,failed_chunks
2009,1.009139060974121,[]
2011,1.818718671798706,[]
2012,2.623699188232422,[]
2014,1.5276179313659668,[]
2015,4.201231956481934,[]
2016,4.671857595443726,[]
2017,8.63294005393982,[]
2018,6.779801368713379,[]
2009,0.925356388092041,[]
2011,2.193108081817627,[]
2012,1.7756457328796387,[]
2014,1.447852373123169,[]
2015,4.839649677276611,[]
2016,5.434362411499023,[]
2017,10.700021028518677,[]
2018,8.199010372161865,[]
2009,0.8112518787384033,[]
2011,1.9714477062225342,[]
2012,2.077028751373291,[]
2014,1.8592798709869385,[]
2015,2.8794591426849365,[]
2016,5.443001985549927,[]
2017,8.833549737930298,[]
2018,7.904258728027344,[]
2009,1.1181666851043701,[]
2011,2.072319507598877,[]
2012,2.0663764476776123,[]
2014,2.689422369003296,[]
2015,3.706979751586914,[]
2016,5.95641565322876,[]
2017,9.446496725082397,[]
2018,7.7563276290893555,[]
