team,matching,year
University of Chicago,UChicago,2009.0
University of Illinois,Illinois,2009.0
iGEM Japan,other,2011.0
Cell Tech Lab at Osaka University,Osaka,2011.0
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2011.0
laboratory of Hayano at the University of Tokyo and ASACUSA at CERN,other,2011.0
Kyoto Institute of Technology,Kyoto,2012.0
Radiation Biology and Medical Genetics Lab at Osaka University,Osaka,2012.0
Ion Beam Mutagenesis Research Group at Japan Atomic Energy Agency,other,2012.0
laboratory of Hayano at the University of Tokyo and ASACUSA at CERN,UT-Tokyo,2012.0
Imperial College London,Imperial,2014.0
Brasil-SP Team,Brasil-SP,2014.0
IvyTech,IvyTech_SouthBend_IN,2014.0
University of Pittsburgh iGEM team,Pitt,2014.0
other teams,other,2014.0
Colegio EmelinaU,Colegio_EmelinaU,2015.0
UNC-Chapel Hill,UNC-Chapel Hill,2015.0
IIT Kharagpur,IIT_Kharagpur,2015.0
NJAU China,NJAU_China,2015.0
ETH Zurich,ETH_Zurich,2015.0
BNU-China,BNU-CHINA,2015.0
Sebastian Hernandez,other,2015.0
Cambridge-JIC team,Cambridge-JIC,2015.0
Aix-Marseille Université,Aix-Marseille,2015.0
SJTU,SJTU-Software,2015.0
SYSU,SYSU_CHINA,2015.0
other,other,2015.0
iGEM teams,other,2015.0
software teams,other,2015.0
hardware teams,other,2015.0
Team Gifu,Gifu,2015.0
Chung Cheng University,CCU_Taiwan,2015.0
pectinase,other,2015.0
Aachen High School,Aachen,2015.0
Amoy High School,Amoy,2015.0
Birkbeck High School,Birkbeck,2015.0
Concordia High School,Concordia,2015.0
Dundee High School,Dundee,2015.0
Elan Vital High School,Elan_Vital_Korea,2015.0
Gaston Day School,Gaston_Day_School,2015.0
Hangzhou High School,Hangzhou-H14Z,2015.0
Hong Kong High School,Hong_Kong_HKU,2015.0
Lethbridge High School,Lethbridge_HS,2015.0
Liceo Eugenio Hostos High School,Liceo_Eugenio_Hostos,2015.0
METU High School,METU_HS_Ankara,2015.0
NEFU High School,NEFU_China,2015.0
Nanjing High School,Nanjing-China,2015.0
Nanjing Foreign Language School,Nanjing_NFLS,2015.0
Nankai High School,Nankai,2015.0
NEAU High School,NEAU-China,2015.0
NJAU High School,NJAU_China,2015.0
NUDT High School,NUDT_CHINA,2015.0
NYMU High School,NYMU-Taipei,2015.0
OLS High School,OLS_Canmore_AB_CA,2015.0
OUC High School,OUC-China,2015.0
Shenzhen Foreign Language School,Shenzhen_SFLS,2015.0
Sherbrooke High School,Sherbrooke,2015.0
Shiyan High School,Shiyan_SY_China,2015.0
SVCE High School,SVCE_Chennai,2015.0
TAS High School,TAS_Taipei,2015.0
TCU High School,TCU_Taiwan,2015.0
Tec Chihuahua High School,Tec-Chihuahua,2015.0
Tec Monterrey High School,Tec-Monterrey,2015.0
TecCEM High School,TecCEM_HS,2015.0
Trinity College Dublin High School,TrinityCollegeDublin,2015.0
UB High School,UB_Indonesia,2015.0
UChile High School,UChile-OpenBio,2015.0
UI High School,UI_Indonesia,2015.0
UMaryland High School,UMaryland,2015.0
UMBC High School,UMBC-Maryland,2015.0
UNA High School,UNA_Honduras,2015.0
UNC High School,UNC-Chapel_Hill,2015.0
UNIK High School,UNIK_Copenhagen,2015.0
uOttawa High School,uOttawa,2015.0
UiOslo High School,UiOslo_Norway,2015.0
UIUC High School,UIUC_Illinois,2015.0
USTC High School,USTC,2015.0
UT High School,UT-Tokyo,2015.0
Utah State High School,Utah_State,2015.0
Valencia High School,Valencia_UPV,2015.0
Vanderbilt High School,Vanderbilt,2015.0
Vilnius High School,Vilnius-Lithuania,2015.0
Virginia High School,Virginia,2015.0
Warwick High School,Warwick,2015.0
Washington High School,Washington,2015.0
WashU High School,WashU_StLouis,2015.0
Waterloo High School,Waterloo,2015.0
Westminster High School,Westminster,2015.0
WLC High School,WLC-Milwaukee,2015.0
WPI High School,WPI-Worcester,2015.0
York High School,York,2015.0
non-iGEM research groups,other,2015.0
another team's BioBrick Part or Device,other,2015.0
a construct,other,2015.0
another team's system,other,2015.0
another team's software,other,2015.0
another team's hardware project,other,2015.0
a high-school team,other,2015.0
high-school team,other,2015.0
Linköping,Linkoping_Sweden,2015.0
UI Oslo,UiOslo_Norway,2015.0
Copenhagen,UNIK_Copenhagen,2015.0
SDU Denmark,SDU-Denmark,2015.0
Pasteur,Pasteur_Paris,2015.0
HS Slovenia,Slovenia_HS,2015.0
UChicago iGEM Team,UChicago,2015.0
NEFU China,NEFU_China,2015.0
Korea U Seoul,Korea_U_Seoul,2015.0
Paris-Saclay,Paris_Saclay,2015.0
Nanjing University,Nanjing-China,2015.0
Shanghai Jiao Tong University,SJTU-China,2015.0
Tongji University,Tongji,2015.0
National Chiao Tung University team NCTU_formosa,NCTU_Formosa,2015.0
NJU_China,NJU-China,2015.0
WHU_China,WHU-China,2015.0
IPPE,other,2015.0
VSETCAB,other,2015.0
Pennsylvania State University iGEM 2015,Penn,2015.0
Center for Biological Systems Engineering,other,2015.0
Department of Chemistry,other,2015.0
Focht Family,other,2015.0
Heeney/Toomey Family,other,2015.0
Bourg Family,other,2015.0
NSF-MCB Award #1331194,other,2015.0
Washington University in St. Louis,Washington,2015.0
SZU,SZU_China,2015.0
Amoy/XMU-China,Amoy,2015.0
Spring,other,2015.0
AUC TURKEY,AUC_TURKEY,2015.0
NU Kazakhstan,NU_Kazakhstan,2015.0
UGA iGEM team,UGA-Georgia,2015.0
ATOMS_Turkiye,ATOMS-Turkiye,2015.0
ATOMS Turkiye,ATOMS-Turkiye,2015.0
METU Ankara,METU_Turkey,2015.0
METU HS,METU_HS_Ankara,2015.0
TU DELFT,TU_Delft,2015.0
HEIDELBERG,Heidelberg,2015.0
OUC China,OUC-China,2015.0
KU_LEUVEN,KU_Leuven,2015.0
METU TURKEY,METU_Turkey,2015.0
GRONINGEN,Groningen,2015.0
