context,category
collaborated with,work
participated in,meetup
collaborated with,work
received help from,work
received advice from,advice
collaborated with,work
received help from,advice
collaborated,work
helped,advice
participated in study,work
participated in surveys,work
collaborated with,work
collaborated,work
helped,advice
mentored,advice
can work with,work
can mentor,advice
received tour from,meetup
worked on collaboration platform with,work
wrote report with,work
presented at Nordic iGEM Conference with,work
met and interacted with,meetup
skyped with,meetup
contacted and presented to,work
emailed and had a Skype session with,work
interested in collaborating/helping to mentor,work
exchanged ideas with,work
attended conference organized by,work
cooperated with,work
acknowledged,other
received support from,advice
detected,work
exchanged advice with,advice
recruited and brainstormed with,work
helped with biology for,work
characterized parts for,work
helped with wiki coding for,work
participated in Synthetic Biology Day with,meetup
provided replicates to,material transfer
confirmed fluorescence of constructs for,work
received images from,material transfer
reported data to,material transfer
received data from,material transfer
participated in,work
attended,meetup
congratulated,other
met,meetup
thanked,other
hopes for,other
looks forward to,other
received suggestions from,advice
received questions from,work
participated in survey,other
wrote PC program for,work
gave help in,advice
discussed with,work
listened to presentation of,other
offered assistance to,advice
sent structures and sequences to,material transfer
participated in mini Jamboree hosted by,meetup
mentored,advice
engaged in competition,other
connected by,other
trained together,work
shared cloning materials with,material transfer
had great communication with,work
based projects on same technology platform with,work
assisted,work
provided samples to,material transfer
helped,work
received help from,work
offered,advice
tested software from,work
discussed survey responses with,work
gave feedback to,advice
communicating with,work
supported,work
provided suggestions to,advice
provided materials to,material transfer
helped with project design for,work
provided information to,material transfer
offered help to,work
organized by,other
met,meetup
interviewed by,work
participated in survey by,other
visited,other
attended meetup with,meetup
attended conference with,work
can work with,work
can help improve function of,advice
can help characterize,advice
can help debug,advice
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
teamed up with,work
collaborated on pest prediction web establishment,work
helped registered iGEM team from high school,advice
collaborated on social research,work
collaborated with registered iGEM team from high school,work
held interschool meetup,meetup
helped complete survey,work
participated in meetup,meetup
cooperated with,work
answered surveys for,work
exchanged ideas with,work
advised,advice
received advice from,advice
received target DNA from,material transfer
provided lab access to,work
provided PCR amplification for,work
provided reagents for,material transfer
provided laboratory apparatus to,material transfer
guided,advice
sent pBS1c3 parts and pGEX-KG expression vectors to,material transfer
shared findings with,work
joined campaign with,work
received analysis and suggestions from,advice
discussed mutated DNA detection,work
asked for help from,advice
contributed theoretical modeling,work
worked on experiment design,work
synthesized and shipped genes,material transfer
contributed,work
approved,work
provided equipment to,material transfer
performed PCR amplification for,work
provided reagents to,material transfer
supplied,material transfer
filled out surveys for,other
provided experimental help to,work
advised,advice
used,work
participated in,meetup
held exhibition booth with,work
collaborated with,work
collaborated,work
received support from,advice
contacted,other
communicated with,other
needed council from,advice
troubleshooted with help from,work
exchanged ideas with,work
planned cooperation with,work
participated in postal card exchange,other
supervisor of,work
organized,work
adopted advice from,advice
raising help and advice,advice
lab support,work
difficult technique support,work
hardware support,work
wiki support,work
presentation coaching,advice
human practice support,advice
other support,other
cooperation with,work
contacted by,other
discussed with,work
improved algorithm with,work
received help from,advice
designed,work
optimized,work
cooperated with,work
helped,advice
shared project with,material transfer
translated,other
attended,meetup
established partnership with,other
participated in iGEM competition,other
collaborated with other iGEM teams,work
tested and selected NtrC-regulated promoter glnAp2,work
compared and selected SsrA-like tag DAS,work
used sfGFP as reporter,work
used M9 medium for bacteria culture,material transfer
can work with,work
can help improve,advice
can help characterize,advice
can help debug,advice
can help model or simulate,advice
can help test,advice
can help build and test,work
can mentor,advice
enlightened by,advice
thanked,other
collaboration with,work
tested DNAzyme synthesized by,material transfer
worked with,work
asked for help from,advice
sent questionnaire to,other
affiliated with,other
hosted webinars with,work
mentored by,advice
mentored,advice
conducted Biofair with,work
built system for controlled release for,work
provided strains to,material transfer
exchanged resources with,material transfer
received guidance from,advice
received suggestions from,advice
helped with precipitation issues of,work
tested pH parts with,work
translated game with,work
answered survey from,other
participated in discussion on,work
gathered data about,work
conducted Skype session with,work
provided information to,advice
tested tool from,work
focused on,other
transferred,material transfer
sequenced,work
established collaboration with,work
gathered responses,work
collected responses,work
conducted survey,work
know what synthetic biology is more than,advice
received research insight from,advice
attended event organized by,meetup
organized event attended by,meetup
received funding advice from,advice
received lecture from,work
volunteered at,work
sought advice from,advice
compared designs with,work
shared experience with,work
helped validate,work
modeled pathway for,work
hosted,work
produces immobilized bacteria,work
changed plan,other
employed peristaltic pump,work
employed microporous filter,work
applied bacterial immobilizing technique,work
applied LED and photoresistor,work
designed control system,work
used Bluetooth module,work
provided cloning expertise to,advice
filled out survey for,other
answered questions for,advice
provided summary for,other
offered poster board space to,work
guided by,advice
sponsored by,work
located at,other
encountered,other
reexamined objectives with,work
is on,other
met,meetup
participated in iGEM competition as,other
hosted education with,work
characterized,work
measured growth curve of,work
tested function of,work
presented to,work
provided biobricks to,material transfer
offered biobricks to,material transfer
establishment of program,other
gave tips to use,advice
provided preview of model handbook,other
helped with modeling,work
provided document about French regulation,material transfer
helped build interactive map,work
